Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Stillwater,1034598,082242016049,Bota Box Nighthawk Gold Sauv Blanc 3L Box,001931902,3,1.0,44.0,44.0,
Andover,1034450,082242016056,Bota Box Redvolution 3L Box,001137405,3,1.0,44.0,44.0,
Blaine,1034465,082242016056,Bota Box Redvolution 3L Box,001137405,3,2.0,44.0,88.0,
Chanhassen,1034487,082242016056,Bota Box Redvolution 3L Box,001137405,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242016056,Bota Box Redvolution 3L Box,001137405,3,1.0,44.0,44.0,
Plymouth,1034537,082242016056,Bota Box Redvolution 3L Box,001137405,3,1.0,44.0,44.0,
St. Louis Park,1034585,082242016056,Bota Box Redvolution 3L Box,001137405,3,3.0,44.0,132.0,
Woodbury,1034615,082242016056,Bota Box Redvolution 3L Box,001137405,3,1.0,44.0,44.0,
Andover,1034450,082242016063,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,001735130,3,2.0,44.0,88.0,
Blaine,1034465,082242016063,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,001735130,3,2.0,44.0,88.0,
Cottage Grove,1034499,082242016063,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,001735130,3,2.0,44.0,88.0,
Minnetonka,1034518,082242016063,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,001735130,3,1.0,44.0,44.0,
Rosemount,1034556,082242016063,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,001735130,3,1.0,44.0,44.0,
Andover,1034450,082242016094,Bota Box Nighthawk Black Lush Pinot Noir 3L Box,001358275,3,1.0,44.0,44.0,
Blaine,1034465,082242016094,Bota Box Nighthawk Black Lush Pinot Noir 3L Box,001358275,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242016094,Bota Box Nighthawk Black Lush Pinot Noir 3L Box,001358275,3,1.0,44.0,44.0,
Vadnais Heights,1034607,082242016148,Bota Box Nighthawk GD Chardonnay 500ml,001738596,12,1.0,40.0,40.0,
Andover,1034450,082242016773,Bota Box Breeze Dry Rose 3L Box,001872251,3,1.0,44.0,44.0,
Blaine,1034465,082242016773,Bota Box Breeze Dry Rose 3L Box,001872251,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242016773,Bota Box Breeze Dry Rose 3L Box,001872251,3,1.0,44.0,44.0,
Stillwater,1034598,082242016773,Bota Box Breeze Dry Rose 3L Box,001872251,3,1.0,44.0,44.0,
Andover,1034450,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Chanhassen,1034487,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Plymouth,1034537,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Ramsey,1034546,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
St. Louis Park,1034585,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Stillwater,1034598,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Woodbury,1034615,082242016780,Bota Box Breeze Pinot Grigio 3L Box,001887584,3,1.0,44.0,44.0,
Stillwater,1034598,082242016797,Bota Box Breeze Red Blend 3L Box,001312523,3,1.0,44.0,44.0,
Andover,1034450,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Blaine,1034465,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Chanhassen,1034487,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Minneapolis,1034510,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Rosemount,1034556,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
St. Louis Park,1034585,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Vadnais Heights,1034607,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Woodbury,1034615,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,001149765,3,1.0,44.0,44.0,
Blaine,1034465,082242017374,Bota Box Nighthawk Rum Barrel Red 3L Box,001052610,3,1.0,44.0,44.0,
Blaine,1034465,082242017558,Bota Box Merlot 3L Box,001999004,3,1.0,44.0,44.0,
Cottage Grove,1034499,082242017558,Bota Box Merlot 3L Box,001999004,3,1.0,44.0,44.0,
Ramsey,1034546,082242017558,Bota Box Merlot 3L Box,001999004,3,1.0,44.0,44.0,
