Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1031799,085000043073,High Noon Peach 8pk 12oz can,1467100,3,3.0,49.5,148.5,
Bloomington,1031808,085000043073,High Noon Peach 8pk 12oz can,1467100,3,2.0,49.5,99.0,
Roseville,1031881,085000043073,High Noon Peach 8pk 12oz can,1467100,3,3.0,49.5,148.5,
Woodbury,1031923,085000043073,High Noon Peach 8pk 12oz can,1467100,3,2.0,49.5,99.0,
Blaine,1031799,085000043080,High Noon Lime Tequila 8pk 12oz can,1810825,3,4.0,54.0,216.0,
Woodbury,1031923,085000043080,High Noon Lime Tequila 8pk 12oz can,1810825,3,5.0,54.0,270.0,
Blaine,1031799,085000426272,High Noon Grapefruit 4pk 12oz can,001551178,6,1.0,49.5,49.5,
Ramsey,1031866,085000426272,High Noon Grapefruit 4pk 12oz can,001551178,6,1.0,49.5,49.5,
Rosemount,1031874,085000426272,High Noon Grapefruit 4pk 12oz can,001551178,6,1.0,49.5,49.5,
Ramsey,1031866,085000429259,High Noon Watermelon 4pk 12oz can,001069422,6,1.0,49.5,49.5,
Blaine,1031799,085000429266,High Noon Pineapple 4pk 12oz can,001761846,6,2.0,49.5,99.0,
Ramsey,1031866,085000429266,High Noon Pineapple 4pk 12oz can,001761846,6,1.0,49.5,49.5,
Rosemount,1031874,085000429266,High Noon Pineapple 4pk 12oz can,001761846,6,1.0,49.5,49.5,
Blaine,1031799,085000429273,High Noon Black Cherry 4pk 12oz can,001920942,6,1.0,49.5,49.5,
Osseo,1031850,085000429273,High Noon Black Cherry 4pk 12oz can,001920942,6,1.0,49.5,49.5,
Rosemount,1031874,085000429273,High Noon Black Cherry 4pk 12oz can,001920942,6,1.0,49.5,49.5,
Roseville,1031881,085000429273,High Noon Black Cherry 4pk 12oz can,001920942,6,1.0,49.5,49.5,
Woodbury,1031923,085000429273,High Noon Black Cherry 4pk 12oz can,001920942,6,1.0,49.5,49.5,
Osseo,1031850,085000430958,High Noon Lime 4pk 12oz can,001631908,6,1.0,49.5,49.5,
Roseville,1031881,085000430958,High Noon Lime 4pk 12oz can,001631908,6,1.0,49.5,49.5,
Blaine,1031799,085000431375,High Noon Peach 4pk 12oz can,001276032,6,1.0,49.5,49.5,
Bloomington,1031808,085000431375,High Noon Peach 4pk 12oz can,001276032,6,1.0,49.5,49.5,
Rosemount,1031874,085000431375,High Noon Peach 4pk 12oz can,001276032,6,1.0,49.5,49.5,
Woodbury,1031923,085000431375,High Noon Peach 4pk 12oz can,001276032,6,1.0,49.5,49.5,
Blaine,1031799,085000432327,High Noon Mango 4pk 12oz can,001274468,6,1.0,49.5,49.5,
Chanhassen,1031815,085000432327,High Noon Mango 4pk 12oz can,001274468,6,1.0,49.5,49.5,
Ramsey,1031866,085000432327,High Noon Mango 4pk 12oz can,001274468,6,1.0,49.5,49.5,
Roseville,1031881,085000432327,High Noon Mango 4pk 12oz can,001274468,6,1.0,49.5,49.5,
Blaine,1031799,085000432563,High Noon Passionfruit 4pk 12oz can,001201759,6,1.0,49.5,49.5,
Rosemount,1031874,085000432563,High Noon Passionfruit 4pk 12oz can,001201759,6,1.0,49.5,49.5,
Woodbury,1031923,085000432563,High Noon Passionfruit 4pk 12oz can,001201759,6,1.0,49.5,49.5,
Blaine,1031799,085000434260,High Noon Lemon 4pk 12oz can,001022787,6,1.0,49.5,49.5,
Chanhassen,1031815,085000434260,High Noon Lemon 4pk 12oz can,001022787,6,1.0,49.5,49.5,
Blaine,1031799,08541509,E&J Brandy 1.75L,000006064,6,2.0,106.0,212.0,
Chanhassen,1031815,08541509,E&J Brandy 1.75L,000006064,6,1.0,106.0,106.0,
Osseo,1031850,08541509,E&J Brandy 1.75L,000006064,6,1.0,106.0,106.0,
Ramsey,1031866,08541509,E&J Brandy 1.75L,000006064,6,1.0,106.0,106.0,
Ramsey,1031866,08563802,New Amsterdam Grapefruit Vodka 50ml,001319251,120,1.0,80.0,80.0,
Blaine,1031799,08567507,New Amsterdam Pink Whitney 50ml,001503050,120,1.0,80.0,80.0,
Osseo,1031850,08567507,New Amsterdam Pink Whitney 50ml,001503050,120,1.0,80.0,80.0,
Roseville,1031881,08567507,New Amsterdam Pink Whitney 50ml,001503050,120,1.0,80.0,80.0,
Woodbury,1031923,08567507,New Amsterdam Pink Whitney 50ml,001503050,120,1.0,80.0,80.0,
Chanhassen,1031815,08588005,New Amsterdam Vodka 50ml,1748651,120,1.0,80.0,80.0,
Osseo,1031850,08588005,New Amsterdam Vodka 50ml,1748651,120,1.0,80.0,80.0,
Ramsey,1031866,08588005,New Amsterdam Vodka 50ml,1748651,120,1.0,80.0,80.0,
Roseville,1031881,08588005,New Amsterdam Vodka 50ml,1748651,120,1.0,80.0,80.0,
Woodbury,1031923,08588005,New Amsterdam Vodka 50ml,1748651,120,1.0,80.0,80.0,
Blaine,1031579,086395095005,Sho Chiku Bai Sake 750ml,000020340,12,1.0,68.25,68.25,
Roseville,1031694,086788000470,Hahn GSM 750ml,1577728,12,1.0,108.0,108.0,Store Request
Ramsey,1031664,086891028910,Rutherford Hill Napa Cab 750ml,516557,12,0.5,432.0,0.0,
Blaine,1031799,088004144722,Fireball Whisky 375ml,24767,24,1.0,122.5,122.5,
