Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Bloomington,1030569,080660010700,99 Pineapples 50ml,395103,120,1.0,72.1,72.1,
Woodbury,1030704,080660010700,99 Pineapples 50ml,395103,120,1.0,72.1,72.1,
Chanhassen,1030577,080660472072,Barton Vodka 375ml,3996,24,1.0,59.6,59.6,
Roseville,1030659,080660472089,Barton Vodka 200ml,7363,48,1.0,67.98,67.98,
Blaine,1030557,080660472638,Barton Vodka Liter,15206,12,1.0,72.5,72.5,
Andover,1030544,080660620992,99 Bananas 50ml,24031,120,1.0,72.1,72.1,
Minneapolis,1030596,080660620992,99 Bananas 50ml,24031,120,1.0,72.1,72.1,
Vadnais Heights,1030697,080660620992,99 Bananas 50ml,24031,120,1.0,72.1,72.1,
Blaine,1030557,080660776057,Caravella Limoncello 750ml,298092,6,1.0,72.9,72.9,
St. Louis Park,1030676,080660776057,Caravella Limoncello 750ml,298092,6,1.0,72.9,72.9,
Minneapolis,1030600,080686000839,Pinnacle Whipped Vodka Liter,606163,12,1.0,104.7,104.7,Store Request
Roseville,1030659,080686001430,Jim Beam Bourbon Traveler,2801,12,1.0,149.92,149.92,
Minneapolis,1030596,080686001706,Jim Beam Bourbon 200ml,309090,48,1.0,190.42,190.42,
Blaine,1030557,080686004424,Knob Creek Rye Whiskey 750ml,581362,6,1.0,152.98,152.98,
St. Louis Park,1030676,080686006893,Jim Beam Vanilla 50ml,000948486,120,1.0,79.2,79.2,
Blaine,1030557,080686008101,On the Rocks Cosmopolitan 750ml,618930,6,1.0,90.42,90.42,
Minneapolis,1030596,080686009092,Suntory -196 Vodka Strawberry 4pk 12oz can,648930,6,2.0,45.0,90.0,
Woodbury,1030704,080686009092,Suntory -196 Vodka Strawberry 4pk 12oz can,648930,6,1.0,45.0,45.0,
Chanhassen,1030577,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,1.0,45.0,45.0,
Cottage Grove,1030584,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,5.0,45.0,225.0,
Minnetonka,1030605,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,2.0,45.0,90.0,
Osseo,1030613,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,1.0,45.0,45.0,
St. Louis Park,1030676,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,3.0,45.0,135.0,
Stillwater,1030688,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,3.0,45.0,135.0,
Vadnais Heights,1030697,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,2.0,45.0,90.0,
Woodbury,1030704,080686009269,Suntory -196 Vodka Cocktail Variety Pack 8pk 12oz can,000648939,3,5.0,45.0,225.0,
Minneapolis,1030596,080686009290,Suntory -196 Vodka Lemon 4pk 12oz can,648932,6,1.0,45.0,45.0,
Osseo,1030613,080686009290,Suntory -196 Vodka Lemon 4pk 12oz can,648932,6,1.0,45.0,45.0,
Woodbury,1030704,080686009290,Suntory -196 Vodka Lemon 4pk 12oz can,648932,6,1.0,45.0,45.0,
Chanhassen,1030577,080686010357,Suntory -196 Variety Pack 3 8pk 12oz can,656131,3,1.0,44.9,44.9,
Cottage Grove,1030584,080686010357,Suntory -196 Variety Pack 3 8pk 12oz can,656131,3,3.0,44.9,134.7,
Woodbury,1030704,080686010357,Suntory -196 Variety Pack 3 8pk 12oz can,656131,3,5.0,44.9,224.5,
Minneapolis,1030596,080686011651,Suntory -196 Vodka Lemon 24oz can,678504,12,1.0,44.9,44.9,
Blaine,1030557,080686012344,Basil Hayden Toast 750ml,524720,6,1.0,252.0,252.0,
Blaine,1030557,080686015406,Bakers Bourbon 750ml,957780,6,1.0,269.96,269.96,
Blaine,1030557,080686016946,Knob Creek Bourbon 1.75L,991843,6,1.0,270.0,270.0,
Blaine,1030557,080686021889,Jim Beam Bourbon Cream 750ml,524726,12,1.0,171.43,171.43,
St. Louis Park,1030676,080686036012,Twisted Tea Whiskey 50ml,623351,120,1.0,80.4,80.4,
Woodbury,1030704,080686036012,Twisted Tea Whiskey 50ml,623351,120,1.0,80.4,80.4,
Blaine,1030557,080686310013,Dekuyper Amaretto Liter,229684,12,1.0,98.0,98.0,
Cottage Grove,1030584,080686310143,Dekuyper Triple Sec Liter,905299,12,1.0,65.75,65.75,
Cottage Grove,1030588,080686363620,Dekuyper Triple Sec 375ml,407361,24,1.0,80.8,80.8,Store Request
St. Louis Park,1030676,080686363620,Dekuyper Triple Sec 375ml,407361,24,1.0,80.8,80.8,
Blaine,1030557,08068636408,Dekuyper Triple Sec 750ml,25186,12,1.0,67.42,67.42,
