Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Notes,Non-Buy Month Invoice,Item Number,Description,Net Case EO,Net Cs EO/Unit,Avg Retail,Avg Club,Avg Sale,Competitor,Neilsen Ranking,Total Wine Price,Cub Price,RP,Multiple Prices,Kosher,item classification,Color,Remove
Apothic White,085000019733,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,All,7.425,89.1,112,13.99,10.960000000000004,0.32253649635036524,96,0,96,000019719,2 Free Crush on 22 (mix and match all except Inferno and Red),89.1,7.425,11.990000000000002,10.960000000000004,0,0.029999999999995808,249,8.97,10.99,5,Yes,,Apothic 750ml except Inferno & Red,0, 
Apothic White,085000019733,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,deep net for august/october,"February, May, August, October, December",6.758333333333333,81.1,112,13.99,10.960000000000004,0.3833637469586378,88,0,88,000019719,2 free Apothic CRUSH on 20cs mix/match except Inferno & Red,81.1,6.758333333333333,11.990000000000002,10.960000000000004,0,0.029999999999995808,249,8.97,10.99,5,Yes,,Apothic 750ml except Inferno & Red,0, 
Barefoot Apple Moscato 1.5L,085000029886,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,"January, March, June, September",7.557916666666667,45.347500000000004,64,15.99,11.897500000000004,0.3647474959725434,48.27, ,52,1375572,2 FREE ON 22,45.347500000000004,7.557916666666667,13.927500000000002,11.897500000000004,0,,,,,12,Yes,,Barefoot 1.5L,,
Barefoot Apple Moscato 1.5L,085000029886,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,All,8.230952380952381,49.385714285714286,64,15.99,11.897500000000004,0.3081779885730298,52,,52,1375572,1 on 13,49.385714285714286,8.230952380952381,13.927500000000002,11.897500000000004,0,,,,,12,Yes,,Barefoot 1.5L,,
Barefoot Blueberry Moscato 1.5L,085000031797,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,"January, March, June, September",7.557916666666667,45.347500000000004,64,15.99,11.897500000000004,0.3647474959725434,48.27, ,52,1126612,2 FREE ON 22,45.347500000000004,7.557916666666667,13.927500000000002,11.897500000000004,0,,,,,4,Yes,,Barefoot 1.5L,,
Barefoot Blueberry Moscato 1.5L,085000031797,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,All,8.230952380952381,49.385714285714286,64,15.99,11.897500000000004,0.3081779885730298,52,,52,1126612,1 on 13,49.385714285714286,8.230952380952381,13.927500000000002,11.897500000000004,0,,,,,4,Yes,,Barefoot 1.5L,,
Barefoot Butter Chard,085000031926,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,,"January, April, June, August",4.4125000000000005,52.95,72,8.99,6.959999999999997,0.3660201149425284,51.85, ,56,1298036,ON Month Deep Net $51.85 ( Off Month Deep Net $56),52.95,4.4125000000000005,7.989999999999998,6.959999999999997,0,,578,X,6.5,5,Yes,,Barefoot 750ml,,
Barefoot Butter Chard 1.5L,085000031933,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,"January, March, June, September",7.557916666666667,45.347500000000004,64,15.99,10.960000000000004,0.31040906326034085,48.27, ,52,1819921,2 FREE ON 22,45.347500000000004,7.557916666666667,12.990000000000002,10.960000000000004,0,,,,,1,Yes,,Barefoot 1.5L,,
Barefoot Butter Chard 1.5L,085000031933,Wine,1.5L,6,Gallo,Johnson Brothers Liquor Co,,All,8.230952380952381,49.385714285714286,64,15.99,10.960000000000004,0.24900069516857867,52,,52,1819921,1 on 13,49.385714285714286,8.230952380952381,12.990000000000002,10.960000000000004,0,,,,,1,Yes,,Barefoot 1.5L,,
Barefoot Cab Sauv,018341751017,Wine,750 ml,12,Gallo,Johnson Brothers Liquor Co,,"January, April, June, August",4.4125000000000005,52.95,72,8.99,6.959999999999997,0.3660201149425284,51.85, ,56,10765,ON Month Deep Net $51.85 ( Off Month Deep Net $56),52.95,4.4125000000000005,7.989999999999998,6.959999999999997,0,,425,X,6.5,15,Yes,,Barefoot 750ml,,
