upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
850071300321,THC,16.99,36,Pallet Buy,9.0,9.0
850071300314,THC,16.99,36,Pallet Buy,9.0,9.0
198715584578,THC,13.99,35,,7.83,7.83
198715342673,THC,13.99,35,,7.83,7.83
198715419979,THC,13.99,35,,7.83,7.83
669185541038,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185409260,THC,5.99,37,60 Day Reorder Time,3.13,3.13
669185541007,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185541045,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185541069,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185403787,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185409222,THC,5.99,37,60 Day Reorder Time,3.13,3.13
669185541014,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185403756,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185540987,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185409239,THC,5.99,37,60 Day Reorder Time,3.13,3.13
669185403800,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185541052,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185403763,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185409246,THC,5.99,37,60 Day Reorder Time,3.13,3.13
669185409253,THC,5.99,37,60 Day Reorder Time,3.13,3.13
669185409208,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185409215,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185541021,THC,1.99,32,60 Day Reorder Time,1.33,1.33
669185403794,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185403817,THC,3.99,25,60 Day Reorder Time,2.23,2.23
669185409277,THC,5.99,37,60 Day Reorder Time,3.13,3.13
685165387106,THC,13.99,37,Lift Bridge Supports to Hit Pricing,7.57,9.67
685165387076,THC,13.99,37,Lift Bridge Supports to Hit Pricing,7.57,9.67
685165387120,THC,36.99,31,Lift Bridge Supports to Hit Pricing,21.32,26.5
685165385218,THC,17.99,34,$14.40/cs Rebate paid out by LB at the end of each quarter,9.9,12.0
685165385119,THC,17.99,34,$14.40/cs Rebate paid out by LB at the end of each quarter,9.9,12.0
198715259247,THC,21.99,38,,11.2,11.2
198715952650,THC,19.99,34,,11.2,11.2
198715262681,THC,19.99,34,,11.2,11.2
198715590043,THC,19.99,34,,11.2,11.2
197644256563,THC,19.99,34,,11.2,11.2
197644189328,THC,19.99,34,,11.2,11.2
197644293414,THC,12.99,36,,6.99,6.99
198168851333,THC,19.99,34,,11.2,11.2
199284895157,THC,53.99,39,,27.5,27.5
197644672905,THC,19.99,34,,11.2,11.2
198168881026,THC,19.99,34,,11.2,11.2
197644704392,THC,19.99,34,,11.2,11.2
197644490271,THC,12.99,36,,6.99,6.99
199284405967,THC,51.99,36,,27.5,27.5
198715075960,THC,30.99,29,,18.33,18.33
197644620692,THC,19.99,34,,11.2,11.2
197644401932,THC,12.99,36,,6.99,6.99
197644908578,THC,19.99,34,,11.2,11.2
197644147694,THC,12.99,36,,6.99,6.99
620221420205,THC,17.99,35,Extra on 12pk to make up for 4pk,9.73,9.73
620221420120,THC,17.99,35,Extra on 12pk to make up for 4pk,9.73,9.73
602221420034,THC,17.99,35,Extra on 12pk to make up for 4pk,9.73,9.73
602221420089,THC,17.99,35,Extra on 12pk to make up for 4pk,9.73,9.73
620221425903,THC,53.99,35,Extra on 12pk to make up for 4pk,29.2,29.2
860006677688,THC,13.99,33,$200 order qty per store,8.0,8.0
860006677671,THC,13.99,33,$200 order qty per store,8.0,8.0
850063284608,THC,10.99,33,$200 order qty per store,6.0,6.0
850063284141,THC,13.99,33,$200 order qty per store,8.0,8.0
860009899384,THC,13.99,33,$200 order qty per store,8.0,8.0
850063284134,THC,13.99,33,$200 order qty per store,8.0,8.0
850063284127,THC,13.99,33,$200 order qty per store,8.0,8.0
860010532591,THC,13.99,33,$200 order qty per store,8.0,8.0
850063284615,THC,10.99,33,$200 order qty per store,6.0,6.0
860009438040,THC,13.99,33,$200 order qty per store,8.0,8.0
850063284646,THC,19.99,35,$200 order qty per store,11.0,11.0
860010316467,THC,10.99,33,$200 order qty per store,6.0,6.0
