Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
Phillips UV Vodka,08711601470,Liquor,,50ml,120,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,0.8691666666666666,104.3,120,0.99,,0.12205387205387207,103.2,,000017299,,,,,0.5,103.2,,,,
Phillips UV Vodka,087116014695,Liquor,Vodka,Traveler,12,Phillips Distilling,Phillips Wine & Spirits,2 free Blue 1.75 on 25,ALL,7.322966666666666,87.87559999999999,108,11.99,,0.3892438142896859,92.25, ,000020792,12.49,10.96,0,,0.3,92.25,,,,
Phillips Vodka,087116018167,Liquor,Vodka,200ml,48,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,2.2624999999999997,108.6,120,2.99,2.9412499999999997,0.23076923076923078,107.5,,000040428,4.49,3.96,0,,0.5,107.5,,,,
Phillips Vodka,087116013735,Liquor,Vodka,375ml,24,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,4.004166666666666,96.1,108,5.99,6.96,0.4246886973180077,95,,001609371,7.99,6.96,0,,0.5,95,606,5.99,5.99,
Phillips Vodka,087116018099,Liquor,Vodka,1.75L,6,Phillips Distilling,Phillips Wine & Spirits,1 on 10 ,ALL,9.733333333333333,58.4,69.75,16.99,13.96,0.30276981852913093,63.03,,000040311,14.99,13.96,0,1.0299999999999994,0.3,63.03,28,12.49,14.99,
Phillips Vodka,087116048324,Liquor,Vodka,Liter,12,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,6.883333333333333,82.6,96,9.99,11.96,0.4244704570791528,81.5,,000064592,11.99,0,0,,0.3,81.5,392,8.99,9.99,
Phillips Vodka,087116011267,Liquor,Vodka,Traveler,12,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,5.616666666666666,67.39999999999999,76,9.99,7.96,0.29438860971524294,66.3,,000033126,8.99,7.96,0,0.03000000000000025,0.3,66.3,139,6.99,7.99,
Phillips Vodka 100pf,087116013742,Liquor,Vodka,375ml,24,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,,,160,23.99,19.96,0,144, ,001692341,11.49,9.96,0,,0.5,144,,,,
Phillips Vodka 100pf,087116011045,Liquor,Vodka,750ml,12,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,,,132,10.99,8.96,0,119.4, ,000010439,12.99,0,0,,0.3,119.4,,,,
Phillips Vodka 100pf,087116048348,Liquor,,Liter,12,Phillips Distilling,Phillips Wine & Spirits,Case 1,ALL,12.883333333333333,154.6,152,15.99,16.748333333333335,0.23076923076923087,153.5,,000064600,,,,,0.3,153.5,,,,
