REMOVE?,Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,Department,Size,Units/Case,Deal Description,Buy Months (if appl.),Case 1 (Retail),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value,Buy Qty,Free Qty,EO $,EO Cases,EO Period,EO Notes,Net Case,Net/Unit,Net Case EO,Net Cs EO/Unit,Retail,Club,GM%,Competitor Pricing,Distributor (1)
Yes,,New France Wine,,HVZin,857680001489,High Valley Zinfandel,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,New France Wine
Yes,,New France Wine,,ParesBaltaIndigena19,688262011059,Pares Balta Indigena,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,New France Wine
Yes,,New France Wine,,remizieressyrah,3480680080009,Remizieres Syrah VDP,Wine,750 ml,12,,All,,,,,,,,,,,0,0,,,-0.01,,1,,New France Wine
Yes,,New France Wine,,ThreeRiesling,094922197245,Three Wine Co. Riesling,Wine,750 ml,12,,All,144,,,,,,,,,,0,0,,,17.99,,1,,New France Wine
REMOVE,,Phillips Wine & Spirits,Folio,000017956,7798104763046,Amalaya Red,Wine,750 ml,12,Case 1,ALL,144,120,,0,1,0,,,,,120,10,,,17.99,,0.4441356309060589,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Union Wine Company,1136430,080232000559,Amity Pinot Noir,Wine,750 ml,12,Case 1,ALL,260,232,,0,1,0,,,,,232,19.333333333333332,,,32.99,,0.4139638274224513,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Union Wine Company,001774531,080232000030,Amity White Pinot Noir,Wine,750 ml,12,Case 1,ALL,200,174,,0,1,0,,,,,174,14.5,,,24.99,,0.4197679071628651,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,USA Wine West,001772748,850008475627,Baron of Thieves Red Blend,Wine,750 ml,12,Case 1,ALL,72,48,,0,1,0,,,,,48,4,,,8.99,,0.5550611790878754,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001403700,081308001463,Big House Birdman Pinot Grigio,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001783974,081308001456,Big House Cardinal Zin,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001341034,081308001449,Big House Great Escape Chard,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001683438,081308000831,Big House Red,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001558812,081308001432,Big House Usual Suspect Cab,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,The Wine Group,001904744,081308000848,Big House White,Wine,3 L Box,6,Case 1,ALL,80,62,,0,1,0,,,,,62,10.333333333333334,,,19.99,,0.48307487076871763,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,MMD,001653375,8027185110524,Castiglion Del Bosco Drago Mag,Wine,1.5 L,1,Case 1,ALL,,,,0,1,0,,,,,0,0,,,-0.01,,1,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Folio,000012982,7798104760076,Colome Estate Malbec,Wine,750 ml,6,Case 1,ALL,136,112,,0,1,0,,,,,112,18.666666666666668,,,33.99,,0.45081886829459644,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Folio,000012981,717888903124,Colome Torrontes,Wine,750 ml,6,Case 1,ALL,72,60,,0,1,0,,,,,60,10,,,17.99,,0.4441356309060589,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Trinchero,000021447,099988071188,Folie a Deux Pinot Noir,Wine,750 ml,12,Case 1,ALL,240,200,,0,1,0,,,,,200,16.666666666666668,,,29.99,,0.44425919751028115,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Prestige,000025668,084279995915,Luccio Strawberry Moscato,Wine,750 ml,12,Case 1,ALL,108,99.25,,0,1,0,,,,,99.25,8.270833333333334,,,13.99,,0.40880390755301405,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Trinchero,000019167,099988071157,Menage A Trois Moscato,Wine,750 ml,12,Case 1,ALL,88,76.32,,0,1,0,,,,,76.32,6.359999999999999,,,10.99,,0.42129208371246596,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Folio,001152333,086891084800,Piper Heidsieck Brut,Wine,750 ml,6,Case 1,ALL,280,210,,0,1,0,,,,,210,35,,,69.99,,0.4999285612230318,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Folio,1356790,087236657178,Piper Heidsieck Extra Dry,Wine,750 ml,12,Case 1,ALL,280,210,,0,1,0,,,,,210,17.5,,,34.99,,0.49985710202915123,,Phillips Wine & Spirits
REMOVE,,Phillips Wine & Spirits,Trinchero,000025228,08513223,Sutter Home Red Blend,Wine,750 ml,12,Case 1,ALL,64,57.85,,0,1,0,,,,,57.85,4.820833333333334,,,7.99,,0.39664163537755526,,Phillips Wine & Spirits
Remove,,Small Lot,Old Bridge Cellars,AUGNELCSHZ18,023859552285,Greg Norman Shiraz,Wine,750 ml,12,Everyday Low Price,All,168,152,152,,,,,,,,152,12.666666666666666,,,20.99,,0.39653803398443704,,Small Lot
Remove,,Small Lot,Old Bridge Cellars,AUGNELCSHZCAB18,098137889988,Greg Norman Shiraz Cabernet,Wine,750 ml,12,Everyday Low Price,All,168,152,152,,,,,,,,152,12.666666666666666,,,20.99,,0.39653803398443704,,Small Lot
Remove,,Small Lot,Old Bridge Cellars,NZINNBYSTOTAGOPNTNR19,767749008819,Innocent Bystander Pinot Noir,Wine,750 ml,12,,All,192,160,160,,,,,,,,160,13.333333333333334,,,23.99,,0.4442128664721411,,Small Lot
Remove,,Small Lot,Jones of Washington,WAJOWCAB17,855030001165,Jones of Wash Cabernet Sauvignon,Wine,750 ml,12,Everyday Low Price,All,168,152,152,,,,,,,,152,12.666666666666666,,,20.99,,0.39653803398443704,,Small Lot
Remove,,Small Lot,Jones of Washington,WAJOW15RIES,855030001158,Jones of Wash Riesling,Wine,750 ml,12,Everyday Low Price,All,120,104,104,,,,,,,,104,8.666666666666666,,,14.99,,0.421836780075606,,Small Lot
