Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Orange Crush 10pk 8oz can,Mixes,Pepsi-Cola,1,0.2,4.9,4.37,6.49,33,1,2,St. Louis Park:1
Pall Mall Red 100,Cigarettes,,3,0.2,14.8,12.12,14.99,19,1,2,Cottage Grove:3
Pure Leaf Raspberry Tea 18oz btl,Mixes,Pepsi-Cola,17,0.2,84.1,1.56,2.29,32,1,2,Plymouth:6;St. Louis Park:11
Fever Tree Sparkling Cucumber Tonic 4pk 6.7oz btl,Mixes,Southern Glazer's Wine & Spirits of MN,47,0.2,201.4,3.83,6.99,45,1,3,Plymouth:2;Roseville:2;St. Louis Park:4;Chanhassen:11;Minnetonka:13;Minneapolis:15
Sprite Tea Zero Sugar 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,11,0.2,64.3,1.61,12.49,87,1,1,Minneapolis:11
Gleaming Cocktail Napkin,Accessories,"True Brands, Inc.",10,0.2,49.5,1.59,5.99,73,1,2,Rosemount:1;Andover:2;Blaine:7
Garden Party Assorted Wine Bags Cakewalk,Accessories,"True Brands, Inc.",7,0.2,30.0,1.83,4.49,59,1,3,Minnetonka:7
Kickled Mary Wasabi 32oz,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",23,0.2,113.7,6.93,11.49,40,1,2,Blaine:1;Rosemount:2;Roseville:2;Plymouth:3;Cottage Grove:6;Vadnais Heights:9
Gatorlyte Zero Fruit Punch 20oz,Mixes,Pepsi-Cola,2,0.2,12.9,1.79,1.99,10,0,5,Andover:2
Gatorade Glacier Cherry 20oz,Mixes,Pepsi-Cola,2,0.2,9.9,1.5,1.99,25,1,2,Stillwater:2
Sideshow Trick Rider Bloody Mary Mix 32oz,Mixes,"Maverick Beverage Co., LLC - MN",0,0.2,0.0,6.79,11.49,41,1,1,
Beer Cups 12oz,Accessories,"M Amundson, LLP",39,0.2,227.9,2.52,4.49,44,1,1,Woodbury:39
Kolder Can Cooler,Accessories,,2,0.2,11.7,2.5,3.99,37,1,1,Woodbury:2
Sideshow Original Mild Bloody Mary Mix 32oz,Mixes,"Maverick Beverage Co., LLC - MN",1,0.2,5.8,6.45,11.49,44,1,1,Plymouth:1
Stainless Steel Heavy Champagne Stop,Accessories,"True Brands, Inc.",13,0.2,64.3,9.2,33.99,73,1,2,Roseville:3;Minnetonka:5;Woodbury:5
Syx Peppermint 12mg,Smokeless,"M Amundson, LLP",0,0.2,0.0,7.09,10.99,35,0,5,
Lift Bridge Rootbeer keg,Non Beer Kegs,,0,0.2,0.0,74.67,144.99,49,1,1,
Klarbrunn Sour Liter,Mixes,"Chas A. Bernick, Inc.",13,0.2,76.0,0.87,1.99,56,1,1,Rosemount:13
Klarbrunn Diet Tonic Water Liter,Mixes,"Chas A. Bernick, Inc.",14,0.2,81.8,0.87,1.99,56,1,1,Rosemount:14
Klarbrunn Tonic Water Liter,Mixes,"Chas A. Bernick, Inc.",17,0.2,99.4,0.88,1.99,56,1,1,Stillwater:3;Rosemount:14
Brisk Lemon Iced Tea Liter,Mixes,,20,0.1,160.7,1.07,2.49,57,0,4,Blaine:20
Virginia Slim Gold 120s,Cigarettes,,12,0.1,192.9,13.94,16.99,18,0,2,Andover:12
Vineyard Bouquet Wine Gift Bag by Cakewa,Accessories,"True Brands, Inc.",9,0.1,72.3,1.35,4.49,70,0,4,Andover:1;Woodbury:8
Measured Liquor Pourers Set of 6,Accessories,"True Brands, Inc.",30,0.1,321.4,5.28,12.99,59,0,3,Minneapolis:4;Roseville:5;Andover:9;Blaine:12
Diet Coke w/ Lime 20oz btl,Mixes,Great Lakes Coca-Cola Distribution,2,0.1,16.1,2.09,3.49,40,0,4,Minneapolis:2
Watkins Orange Bitters 11oz,Mixes,Phillips Wine & Spirits - St. Paul,8,0.1,85.7,14.45,19.99,28,0,3,Woodbury:3;Ramsey:5
Watkins Aromatic Bitters 11oz,Mixes,Phillips Wine & Spirits - St. Paul,16,0.1,128.6,10.89,19.99,46,0,4,St. Louis Park:1;Roseville:2;Andover:5;Vadnais Heights:8
Copenhagen Wintergreen,Smokeless,"M Amundson, LLP",3,0.1,48.2,9.7,15.99,39,0,2,Woodbury:3
Matte Black Single-Bottle Wine Bag by Cakewalk,Accessories,"True Brands, Inc.",8,0.1,128.6,0.79,2.29,66,0,2,Minnetonka:8
Duo Bottle Stopper And Pour Spout,Accessories,"True Brands, Inc.",57,0.1,916.1,4.04,8.99,55,0,2,Blaine:6;Chanhassen:8;Vadnais Heights:8;Rosemount:9;Roseville:10;Woodbury:16
Marlboro Southern Cut,Cigarettes,,7,0.1,112.5,12.56,14.99,16,0,2,Cottage Grove:7
MTN Dew Kickstart Blk Chr 16oz can,Mixes,Pepsi-Cola,23,0.1,246.4,1.6,1.69,5,0,3,Chanhassen:3;Blaine:20
NFL Can Cooler,Accessories,Bellboy Corporation,10,0.1,160.7,3.5,6.99,50,0,2,Minneapolis:2;Blaine:4;Woodbury:4
Marlboro Sp. Blend Black,Cigarettes,,17,0.1,273.2,12.56,14.99,16,0,2,Andover:17
Twins Zipper bottle Cooler,Accessories,Bellboy Corporation,5,0.1,80.4,4.59,5.99,23,0,2,Rosemount:5
USA Frosted Cups Blush (Set of 12),Accessories,"True Brands, Inc.",10,0.1,160.7,4.51,9.99,55,0,2,Minneapolis:10
Marlboro Sp. Blend Black 100,Cigarettes,,5,0.1,80.4,12.56,14.99,16,0,2,Cottage Grove:5
Pepsi Diet 10pk 8oz can,Mixes,Pepsi-Cola,21,0.1,168.8,5.55,7.99,31,0,4,St. Louis Park:3;Ramsey:5;Vadnais Heights:13
Loon Spearmint 14mg,Smokeless,"M Amundson, LLP",2,0.1,32.1,6.0,8.99,33,0,2,Minneapolis:2
Ever American Tonic 8oz,Mixes,Bellboy Corporation,19,0.1,305.4,2.26,6.49,65,0,2,Plymouth:1;Minnetonka:3;Rosemount:4;Ramsey:5;Cottage Grove:6
Owen's Mint Cucumber & Lime 750ml,Mixes,Phillips Wine & Spirits - St. Paul,1,0.1,16.1,4.65,7.99,42,0,2,Minnetonka:1
Newport Platinum,Cigarettes,"M Amundson, LLP",11,0.1,176.8,13.25,15.99,17,0,2,Minneapolis:11
On Nicotine Pouch 8mg Wintergreen,Smokeless,"M Amundson, LLP",5,0.1,80.4,7.01,11.49,39,0,2,Minneapolis:5
Camel Platinum,Cigarettes,,5,0.1,80.4,14.05,16.99,17,0,2,Woodbury:5
Earl Giles Ginger Beer 4pk 12oz can,,Small Lot MN,0,0.1,0.0,6.0,13.99,57,0,3,
Bittercube Jamaican #2 1oz,Mixes,"Vinocopia, Inc",12,0.1,192.9,6.29,9.99,37,0,2,Chanhassen:1;Cottage Grove:1;Rosemount:1;Ramsey:4;Minnetonka:5
Fresh Lemons,,,0,0.1,0.0,0.79,,,0,2,
Lemon/Limes,Misc Other,,0,0.1,0.0,0.0,,,0,3,
LaCroix Pamplemousse 8pk 12oz cn,Mixes,,0,0.1,0.0,4.17,5.99,30,0,2,
Liber & Co Demerara Syrup 500ml,Mixes,Am Craft Spirits,1,0.1,10.7,11.25,15.99,30,0,3,Cottage Grove:1
Liber & Co Blood Orange 500ml,Mixes,Am Craft Spirits,10,0.1,160.7,10.95,17.49,37,0,2,Roseville:1;St. Louis Park:2;Vadnais Heights:3;Chanhassen:4
Spring Grove Rootbeer 4pk 12oz btl,Mixes,,6,0.1,64.3,4.17,6.49,36,0,3,Blaine:6
Syx Tropical 6mg,Smokeless,"M Amundson, LLP",11,0.1,176.8,7.09,10.99,35,0,2,Minneapolis:11
Fre Pouch 9mg Sweet,Smokeless,"M Amundson, LLP",65,0.1,696.4,8.0,11.49,30,0,3,Minneapolis:65
Glacier Rocks 8-Piece Soapstone Set,Accessories,"True Brands, Inc.",28,0.1,450.0,18.96,36.99,49,0,2,Chanhassen:1;Plymouth:1;Vadnais Heights:2;Cottage Grove:3;Andover:4;Blaine:17
Repour 4pk,Accessories,,64,0.1,1028.6,2.63,9.99,74,0,2,Cottage Grove:8;Vadnais Heights:10;Woodbury:10;St. Louis Park:13;Ramsey:23
Grizzly Mint Long Cut,Smokeless,"M Amundson, LLP",5,0.1,80.4,8.93,10.99,19,0,2,Andover:5
Assorted Cheers Wine Bags by Cakewalk,Accessories,"True Brands, Inc.",8,0.1,128.6,2.19,5.49,60,0,2,Blaine:1;Vadnais Heights:3;Woodbury:4
Army Green Double-Hinged Corkscrew,Accessories,"True Brands, Inc.",5,0.1,80.4,2.5,5.99,58,0,2,Rosemount:5
Schweppes Ginger Ale 10pk 8oz can,Mixes,Pepsi-Cola,0,0.1,0.0,4.37,6.49,33,0,4,
Savvi Serve 5oz Tumblers 5oz,Accessories,,20,0.1,160.7,0.0,2.99,100,0,4,Blaine:20
Rose All Day Cocktail Napkin by Cakewalk,Accessories,"True Brands, Inc.",7,0.1,112.5,1.59,5.99,73,0,2,Blaine:3;Cottage Grove:4
Hoppy Beerthday 6 Pack Bag,Accessories,"True Brands, Inc.",17,0.1,273.2,1.67,6.99,76,0,2,Woodbury:17
Gunmetal Trident Barspoon by Viski,Accessories,"True Brands, Inc.",13,0.1,208.9,6.3,14.99,58,0,2,Rosemount:2;Plymouth:3;Blaine:8
Wine Glass - Stole My Sanity,Accessories,,89,0.1,1430.4,1.0,4.49,78,0,2,Cottage Grove:1;Andover:7;Stillwater:8;Vadnais Heights:9;Minnetonka:14;Plymouth:15;Rosemount:17;Woodbury:18
Copper Aerating Pour Spout by Viski,Accessories,"True Brands, Inc.",17,0.1,273.2,5.7,16.99,66,0,2,Roseville:2;Woodbury:2;Ramsey:3;Rosemount:5;Vadnais Heights:5
Wine Away Stain Remover - Carded,Accessories,"True Brands, Inc.",142,0.1,2282.1,3.56,9.99,64,0,2,Chanhassen:1;Blaine:5;Plymouth:10;St. Louis Park:17;Vadnais Heights:20;Cottage Grove:21;Ramsey:21;Roseville:47
Daily's Strawberry Daq 64oz,Mixes,Phillips Wine & Spirits - St. Paul,1,0.1,10.7,5.57,8.99,38,0,3,Andover:1
Aerial: Aerating Wine Pourer,Accessories,"True Brands, Inc.",41,0.1,658.9,3.46,6.49,47,0,2,Minnetonka:4;Plymouth:7;Blaine:9;Vadnais Heights:9;Rosemount:12
Dashfire Chai Walla Bitters 50ml,Mixes,Am Craft Spirits,3,0.0,,9.75,15.99,39,0,0,Chanhassen:3
Daily's Pina Colada 64oz,Mixes,Phillips Wine & Spirits - St. Paul,0,0.0,,1.65,8.99,82,0,0,
Corkscrew Picnic,Accessories,,9,0.0,,0.0,0.99,100,0,0,Cottage Grove:9
Copper Wine Charms by Viski,Accessories,"True Brands, Inc.",0,0.0,,5.43,14.99,64,0,0,
Copper Heavyweight Bottle Stopper,Accessories,"True Brands, Inc.",7,0.0,,4.58,11.99,62,0,0,Roseville:1;St. Louis Park:2;Vadnais Heights:4
Wine FREEZE� XL Cooling Cups in Marble,Accessories,"True Brands, Inc.",3,0.0,96.4,13.02,34.99,63,0,1,Blaine:3
Wine FREEZE� Cooling Cups in Clear,Accessories,"True Brands, Inc.",5,0.0,,13.19,29.99,56,0,0,Rosemount:5
Wine FREEZE� Cooling Cup in Marble,Accessories,"True Brands, Inc.",16,0.0,,8.26,19.99,59,0,0,Vadnais Heights:4;Minneapolis:6;St. Louis Park:6
Zoa Strawberry Watermelon 12oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",5,0.0,160.7,1.49,2.99,50,0,1,Minneapolis:5
Bubly Raspberry 8pk 12oz can,Mixes,Pepsi-Cola,0,0.0,,3.78,6.99,46,0,0,
Bubbl'r Twisted Elixir 12oz can,Mixes,Pepsi-Cola,0,0.0,,0.9,1.49,40,0,0,
Bruce: Wine Stopper,Accessories,"True Brands, Inc.",24,0.0,,4.32,8.99,52,0,0,Plymouth:1;Ramsey:1;Roseville:2;Vadnais Heights:3;Andover:4;Blaine:13
Brisk Strawberry Melon Liter,Mixes,,0,0.0,,0.68,,,0,0,
1919 Root Beer 5L,Mixes,Dahlheimer Beverage Monticello,1,0.0,,18.98,23.99,21,0,0,Andover:1
ZBiotics Pre-Alcohol Probiotic Drink 2pk 14ml btl,Functional,ZBiotics Company,74,0.0,,12.0,23.99,50,0,0,Roseville:2;Andover:5;St. Louis Park:8;Woodbury:9;Plymouth:10;Blaine:40
ZBiotics Pre-Alcohol Probiotic Drink 14ml btl,Functional,ZBiotics Company,45,0.0,,6.5,12.99,50,0,0,St. Louis Park:5;Andover:9;Woodbury:11;Plymouth:20
7up 20oz,Mixes,American Bottling Company,3,0.0,,3.59,1.99,-80,0,0,Blaine:3
Keep Calm Napkin by Cakewalk,Accessories,"True Brands, Inc.",2,0.0,,1.59,5.99,73,0,0,Roseville:2
Salem Gold Pack,Cigarettes,,0,0.0,,14.05,16.99,17,0,0,
SBOC Maraschino Cherries 10oz,Condiments,Bellboy Corporation,6,0.0,,5.25,8.99,42,0,0,St. Louis Park:1;Ramsey:5
SBOC Hot Pickled Green Beans 5oz,Condiments,Bellboy Corporation,0,0.0,,6.05,11.99,49,0,0,
Rose Quartz Wine Gems,Accessories,"True Brands, Inc.",8,0.0,,6.88,28.99,76,0,0,Blaine:8
Riedel Single Malt-Set of 2,Accessories,,0,0.0,,0.0,49.99,100,0,0,
Henry Weinhard's Orange Cream 6pk 12oz btl,Mixes,"Breakthru Beverage Minnesota Beer, LLC",1,0.0,,4.19,7.99,48,0,0,Cottage Grove:1
Cheer Wine gift bag by Cakewalk,Accessories,"True Brands, Inc.",2,0.0,,0.79,2.29,66,0,0,Andover:2
Greenbar Earl Grey Bitters Soda 4pk 12oz can,Mixes,"Grape Beginnings, Inc.",6,0.0,,9.88,15.99,38,0,0,St. Louis Park:1;Minnetonka:5
Greenbar Burnt Orange Bitters Soda 4pk 12oz can,Mixes,"Grape Beginnings, Inc.",0,0.0,,9.93,15.99,38,0,0,
Glacier Rocks Set of 4,Accessories,"True Brands, Inc.",0,0.0,,9.47,20.99,55,0,0,
Glacier Rocks Hexagonal Basalt Stones,Accessories,"True Brands, Inc.",22,0.0,707.1,11.72,23.99,51,0,1,Vadnais Heights:1;Andover:2;Chanhassen:5;Blaine:14
Ghost Energy Sour Patch Redberry 16oz can,Mixes,"Capitol Beverage Sales, L.P.",0,0.0,,1.87,2.99,37,0,0,
Kodiak Wintergreen Pouches,Smokeless,"M Amundson, LLP",2,0.0,,11.65,15.99,27,0,0,Minneapolis:2
Kocktails by Kickles Strawberry Marg Mix 32oz,Mixes,Old World Canning Company,-12,0.0,,6.83,11.49,41,0,0,
Gunmetal Heavyweight Cocktail Shaker,Accessories,"True Brands, Inc.",0,0.0,,21.3,47.99,56,0,0,
Gunmetal Heavyweight Bottle Stopper,Accessories,"True Brands, Inc.",7,0.0,,4.98,11.99,58,0,0,Andover:1;Blaine:3;Roseville:3
Gunmetal Hawthorne Strainer by Viski,Accessories,"True Brands, Inc.",23,0.0,,8.27,26.99,69,0,0,Blaine:3;Andover:10;Vadnais Heights:10
Gunmetal Aerating Pour Spout by Viski,Accessories,"True Brands, Inc.",11,0.0,353.6,5.72,17.99,68,0,1,Roseville:1;Andover:3;Minnetonka:3;Vadnais Heights:4
Grizzly Mint pouches,Smokeless,,25,0.0,,9.48,11.99,21,0,0,Cottage Grove:10;Ramsey:15
Redbull Summer Edition 4pk 12oz can,Mixes,Red Bull Distribution Company,0,0.0,,2.0,2.99,33,0,0,
Red Bull Yellow Tropical 6pk 8oz can,Mixes,Red Bull Distribution Company,0,0.0,,3.2,,,0,0,
Red Bull Winter Pear Cinnamon 12oz can,Mixes,Red Bull Distribution Company,0,0.0,,4.25,3.49,-22,0,0,
Red Bull Winter Fuji Apple & Ginger 12oz can,Mixes,Red Bull Distribution Company,0,0.0,,2.28,4.49,49,0,0,
Chalkboard Bottle Bag,Accessories,"True Brands, Inc.",8,0.0,257.1,2.07,4.99,59,0,1,Vadnais Heights:1;Andover:2;Blaine:5
Celsius Sparkling Lemon Lime 12oz can,Mixes,Pepsi-Cola,0,0.0,,1.58,2.49,37,0,0,
GPC Red Box,Cigarettes,,19,0.0,,10.53,13.49,22,0,0,Andover:19
Aquafina 16.9oz,Mixes,Walmart,26,0.0,835.7,0.22,1.29,83,0,1,Osseo:2;Roseville:2;Cottage Grove:8;Ramsey:14
Gatorade Zero Orange 28oz,Mixes,Pepsi-Cola,0,0.0,,1.85,1.99,7,0,0,
Gatorade Zero Glacier Freeze 28oz,Mixes,Pepsi-Cola,15,0.0,,1.92,1.99,3,0,0,Blaine:15
Gatorade Orange 28oz,Mixes,Pepsi-Cola,16,0.0,,0.36,2.49,86,0,0,Blaine:16
Life Water 24oz,Mixes,Pepsi-Cola,0,0.0,,1.73,1.99,13,0,0,
Liber & Co Passionfruit  500ml,Mixes,Am Craft Spirits,0,0.0,,10.97,17.99,39,0,0,
Jeeves: Twin Prong Bottle Opener,Accessories,"True Brands, Inc.",7,0.0,,0.0,5.99,100,0,0,Andover:7
Jack Rudy Tonic Syrup 500ml,Mixes,Am Craft Spirits,7,0.0,225.0,12.25,22.49,46,0,1,Chanhassen:2;Woodbury:5
Jack Rudy Elderflower Tonic Syrup 500ml,Mixes,Am Craft Spirits,3,0.0,,12.54,22.49,44,0,0,Chanhassen:3
Jack Rudy Cocktail Grenadine 16oz,Mixes,Am Craft Spirits,3,0.0,,12.06,18.99,36,0,0,Woodbury:1;Vadnais Heights:2
Iced Out Diamond Ice Cube Tray,Accessories,"True Brands, Inc.",22,0.0,707.1,5.8,15.99,64,0,1,Blaine:1;Minneapolis:2;Plymouth:7;Cottage Grove:12
Bartesian SS Cocktail Dispenser,Accessories,,2,0.0,,249.99,349.99,29,0,0,Woodbury:2
Barq's Root Beer 2L,Mixes,Great Lakes Coca-Cola Distribution,5,0.0,,2.95,3.49,15,0,0,St. Louis Park:5
Bang Energy Cotton Candy 16oz can,Mixes,,0,0.0,,1.53,2.49,39,0,0,
L&M Turkish Blend,Cigarettes,,8,0.0,257.1,12.18,14.99,19,0,1,Cottage Grove:8
Kool Super Longs 100s,Cigarettes,,20,0.0,,12.52,14.99,16,0,0,Cottage Grove:20
Sip & Go Stemless Wine Tumbler,Accessories,"True Brands, Inc.",1,0.0,,7.3,14.99,51,0,0,Rosemount:1
Shine Bright Cocktail Napkin,Accessories,"True Brands, Inc.",5,0.0,,1.59,5.99,73,0,0,Cottage Grove:5
Shimmer: Metallic Bottle Pens,Accessories,"True Brands, Inc.",21,0.0,,3.05,9.99,69,0,0,Andover:5;Minneapolis:7;Roseville:9
Sharab Shrubs Apple-Rosemary 8oz,Mixes,Am Craft Spirits,16,0.0,514.3,8.78,14.99,41,0,1,Vadnais Heights:1;Andover:2;Plymouth:13
Sharab Shrubs 18th & Central  8oz,Mixes,Am Craft Spirits,11,0.0,353.6,9.72,14.99,35,0,1,Andover:3;Rosemount:8
Seedlip Spice 94 700ml,Mixes,Phillips Wine & Spirits - St. Paul,1,0.0,,20.0,29.99,33,0,0,St. Louis Park:1
Seedlip Grove 42 750ml,Mixes,Phillips Wine & Spirits - St. Paul,0,0.0,,20.22,29.99,33,0,0,
Seagrams Tonic Water 6pk 11oz btl,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,4.77,6.99,32,0,0,
Liquid Ice Red 4pk 8oz can,Mixes,Dahlheimer Beverage Monticello,30,0.0,,5.14,6.99,26,0,0,Andover:30
Kocktails by Kickles Raspberry Marg Mix 32oz,Mixes,Old World Canning Company,0,0.0,,6.83,11.49,41,0,0,
Kocktails by Kickles Passion Fruit Marg Mix 32oz,Mixes,Old World Canning Company,3,0.0,,6.83,11.49,41,0,0,Blaine:3
Kocktails by Kickles Cranberry Marg Mix 32oz,Mixes,Old World Canning Company,8,0.0,,6.83,11.49,41,0,0,Blaine:8
Klarbrunn Ginger Ale Liter,Mixes,"Chas A. Bernick, Inc.",0,0.0,,0.82,1.99,59,0,0,
Red Bull Red Edition 8oz can,Mixes,Red Bull Distribution Company,11,0.0,,1.67,2.49,33,0,0,Blaine:11
Red Bull Energy Drink 4pk 12oz can,Mixes,Red Bull Distribution Company,10,0.0,,9.12,2.99,-205,0,0,Plymouth:10
Red Bull Blue Edition 8oz can,Mixes,Red Bull Distribution Company,42,0.0,1350.0,1.65,2.49,34,0,1,Blaine:3;Cottage Grove:4;Rosemount:11;Plymouth:24
Seagrams Diet Ginger Ale,Pop1,,0,0.0,,0.0,1.99,100,0,0,
Seagrams Club Soda 355ml,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,5.22,6.99,25,0,0,
Sparkling Ice Black Raspberry 17oz btl,Mixes,"Capitol Beverage Sales, L.P.",2,0.0,,0.9,1.99,55,0,0,Minnetonka:2
Frisky Cub Bottle Holder by True,Accessories,"True Brands, Inc.",1,0.0,,18.39,39.99,54,0,0,Vadnais Heights:1
Fresca,Pop1,,13,0.0,,0.0,2.29,100,0,0,St. Louis Park:13
Sparkletini Glitter Flask,Accessories,"True Brands, Inc.",0,0.0,,0.0,20.99,100,0,0,
Solo 12oz cups 12oz,Accessories,,0,0.0,,0.0,3.99,100,0,0,
Smash: Natural Wood Muddler,Accessories,"True Brands, Inc.",19,0.0,610.7,2.94,6.99,58,0,1,Blaine:8;Andover:11
Pepsi Diet 6pk 8oz can,Mixes,Pepsi-Cola,4,0.0,,3.65,4.99,27,0,0,Stillwater:4
Pepsi Diet 20oz,Mixes,Pepsi-Cola,16,0.0,514.3,0.56,2.09,73,0,1,Plymouth:16
Liber & Co Lemon Lavander 375ml,Mixes,Am Craft Spirits,4,0.0,,13.5,20.99,36,0,0,Minnetonka:4
Liber & Co Almond Orgeat 500ml,Mixes,,4,0.0,,11.25,17.49,36,0,0,Vadnais Heights:4
Real Lemon 5oz,Mixes,"M Amundson, LLP",31,0.0,,0.0,1.49,100,0,0,Woodbury:31
Rabbit Wine Preserver,Accessories,,5,0.0,,7.5,42.99,83,0,0,Andover:5
Q Ginger Beer 4pk 12oz can,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",0,0.0,,3.35,7.99,58,0,0,
Prime Blue Raspberry Energy Drink 12oz can,Mixes,"Capitol Beverage Sales, L.P.",30,0.0,964.3,1.75,3.49,50,0,1,Blaine:30
Skull Liquor Decanter,Accessories,"True Brands, Inc.",3,0.0,,13.94,34.99,60,0,0,Roseville:3
Skoal Long Cut Wintergreen,Smokeless,"M Amundson, LLP",0,0.0,,11.43,15.99,29,0,0,
Flaherty's Tom & Jerry Batter 14oz,Mixes,Am Craft Spirits,21,0.0,,9.33,15.99,42,0,0,Ramsey:2;Minnetonka:4;Osseo:5;Minneapolis:10
Fireball Liqueur Chocolate Tube,Misc Other,"True Brands, Inc.",0,0.0,,7.3,14.99,51,0,0,
Finest Call Extra Spicy Bloody,Mixes,,7,0.0,225.0,3.44,5.99,43,0,1,Andover:7
Filthy Pimento Stuffed Olive 8oz,Condiments,Phillips Wine & Spirits - St. Paul,0,0.0,,5.04,8.99,44,0,0,
Filthy Onion 8oz,Condiments,Phillips Wine & Spirits - St. Paul,0,0.0,,4.33,6.99,38,0,0,
Sprite 16.9oz,Mixes,Walmart,2,0.0,,0.43,2.29,81,0,0,St. Louis Park:2
Spring Grove Rhu-Berry 4pk 12oz btl,Mixes,"Capitol Beverage Sales, L.P.",4,0.0,128.6,4.17,5.99,30,0,1,Blaine:4
Bittercube Cherry Bark Vanilla 1oz,Mixes,"Vinocopia, Inc",13,0.0,417.9,4.59,9.99,54,0,1,Stillwater:1;Osseo:6;Ramsey:6
Bitter Truth Rose Water 4oz,Mixes,Am Craft Spirits,0,0.0,,9.66,14.99,36,0,0,
Liquid Death Berry It Alive 19oz can,Mixes,"Capitol Beverage Sales, L.P.",1,0.0,,1.42,1.99,29,0,0,Minneapolis:1
Plastic Cups 3 oz 3oz,Accessories,,14,0.0,,0.0,3.99,100,0,0,Rosemount:14
Pink Edition Red Bull Wild Berries 12oz can,Mixes,Red Bull Distribution Company,0,0.0,0.0,2.27,4.49,49,0,1,
Pepsi Zero 2L,Mixes,Pepsi-Cola,1,0.0,,1.53,3.99,62,0,0,Stillwater:1
Pepsi Zero 12pk 12oz can,Mixes,Pepsi-Cola,9,0.0,289.3,6.65,15.49,57,0,1,St. Louis Park:9
Spooky Mojito Mix 32oz,Mixes,Bellboy Corporation,0,0.0,0.0,3.98,8.99,56,0,1,
Fever Tree Mediterranean Tonic 8pk 5oz can,Mixes,"Breakthru Beverage Minnesota Beer, LLC",3,0.0,,5.67,,,0,0,St. Louis Park:3
Starry 16.9oz,Mixes,Walmart,11,0.0,,0.93,2.29,59,0,0,Vadnais Heights:11
Starbucks Nitro Cold Brew w/ Sweet Cream 9oz,Mixes,Pepsi-Cola,9,0.0,,2.43,2.99,19,0,0,Roseville:2;Blaine:3;Andover:4
Stainless Steel Trident Barspoon,Accessories,"True Brands, Inc.",0,0.0,,3.99,9.99,60,0,0,
Sprite Winter Spiced Cranberry 2L,Mixes,Great Lakes Coca-Cola Distribution,2,0.0,,2.32,4.49,48,0,0,Minneapolis:2
Sprite Winter Spiced Cranberry 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,0,0.0,,9.28,12.49,26,0,0,
Football Flask,Accessories,"True Brands, Inc.",10,0.0,,18.0,34.99,49,0,0,Vadnais Heights:2;Blaine:4;Rosemount:4
Swisher Sweets Tip Cigarillos 5pk,Cigars,,10,0.0,,0.0,5.99,100,0,0,Ramsey:10
Swisher Sweets Cigarillos 5pk,Cigars,"M Amundson, LLP",0,0.0,,4.48,7.49,40,0,0,
Swisher Sweets Cigarillos 2pk,Cigars,,0,0.0,,1.2,1.99,40,0,0,
Swisher Sweet Cream,Cigars,"M Amundson, LLP",1,0.0,32.1,3.36,2.99,-12,0,1,Andover:1
Swirl Glass Wine Charms,Accessories,"True Brands, Inc.",6,0.0,,5.59,12.99,57,0,0,Cottage Grove:3;Woodbury:3
Swipe: Card Bottle Opener,Accessories,"True Brands, Inc.",17,0.0,,2.33,7.99,71,0,0,Andover:1;Rosemount:8;St. Louis Park:8
Superior Tonic Water 355ml,Mixes,,0,0.0,,4.9,7.99,39,0,0,
Stopper Rabbit,Accessories,,9,0.0,,2.0,3.99,50,0,0,Chanhassen:9
Stem Springs: Silicone Wine Charms,Accessories,"True Brands, Inc.",36,0.0,,5.55,11.49,52,0,0,Andover:3;Roseville:7;Minnetonka:8;Vadnais Heights:18
Party Essentials Soft Neon Bomber Cups,Accessories,"M Amundson, LLP",7,0.0,,0.0,5.99,100,0,0,Plymouth:7
Party Essentials Hard Neon Bomber Cups,Accessories,"M Amundson, LLP",0,0.0,,2.9,6.99,59,0,0,
Loon Polar Bear Freeze 7mg,Smokeless,M Amundson,0,0.0,,6.0,8.99,33,0,0,
Loon Gum Mint 7mg,Smokeless,"M Amundson, LLP",4,0.0,128.6,6.0,8.99,33,0,1,Minneapolis:4
Loon Green Apple 14mg,Smokeless,"M Amundson, LLP",7,0.0,,6.0,8.99,33,0,0,Minneapolis:7
Loon Arctic Mint 7mg,Smokeless,"M Amundson, LLP",0,0.0,,6.0,8.99,33,0,0,
Loon Arctic Grape 14mg,Smokeless,"M Amundson, LLP",25,0.0,,6.0,5.49,-9,0,0,Minneapolis:25
Boozy Bass Bottle Holder,Accessories,"True Brands, Inc.",1,0.0,,18.92,39.99,53,0,0,Andover:1
Bling Magnetic Wine Charms,Accessories,,0,0.0,0.0,0.0,12.99,100,0,1,
Black Stripe Foiled Cheers Napkin,Accessories,"True Brands, Inc.",8,0.0,257.1,2.59,9.99,74,0,1,Woodbury:2;Rosemount:3;Vadnais Heights:3
Bittercube Orange Bitters 1oz,Mixes,"Vinocopia, Inc",6,0.0,192.9,6.29,9.99,37,0,1,Ramsey:1;Minneapolis:2;Minnetonka:3
