Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Wine Glass - Paris Well Crazy Relatives,Accessories,,232,0.9,266.3,1.0,4.49,78,4,10,Ramsey:5;Roseville:7;Vadnais Heights:19;Minnetonka:32;Plymouth:33;Stillwater:33;Rosemount:44;Woodbury:59
Powerade Mountain Berry Blast 20oz,Mixes,Great Lakes Coca-Cola Distribution,19,0.9,22.2,1.14,1.99,43,5,5,Bloomington:19
Dr Pepper 16oz can,Mixes,Pepsi-Cola,18,0.9,19.6,1.6,1.99,19,3,16,Osseo:18
Ocean Spray Cranberry Juice 15oz,Mixes,Pepsi-Cola,25,0.9,29.2,1.82,1.99,8,3,14,Chanhassen:12;Osseo:13
Taste of Florida Lime Juice 32oz,Mixes,"Capitol Beverage Sales, L.P.",3,0.9,3.4,3.85,4.99,23,5,6,Plymouth:3
Monster Electric Blue 16oz can,Mixes,Great Lakes Coca-Cola Distribution,28,0.8,33.3,2.04,2.49,18,4,9,Blaine:11;Woodbury:17
Dasani 16.9oz,Mixes,Walmart,9,0.8,11.1,0.22,1.29,83,2,17,St. Louis Park:2;Cottage Grove:7
Mountain Dew Diet 12pk 12oz can,Mixes,Pepsi-Cola,18,0.8,22.3,9.48,12.99,27,4,8,Chanhassen:1;Woodbury:6;Stillwater:11
Truetap: Double-Hinged Corkscrew in Red,Accessories,"True Brands, Inc.",72,0.8,92.6,3.27,5.49,40,4,7,Minneapolis:2;Vadnais Heights:3;Rosemount:6;Roseville:7;Bloomington:10;Plymouth:10;St. Louis Park:34
Celsius Kiwi Guava 12oz can,Mixes,Pepsi-Cola,72,0.8,90.8,1.7,2.49,32,3,12,Plymouth:13;Roseville:18;St. Louis Park:19;Blaine:22
Loon Pouch Arctic Lemon 7mg,Smokeless,"M Amundson, LLP",0,0.8,0.0,6.0,8.99,33,0,26,
Tres Agaves Mango Chili Margarita Mix Liter,Mixes,Phillips Wine & Spirits - St. Paul,22,0.8,27.2,5.87,11.49,49,4,8,Cottage Grove:4;St. Louis Park:7;Rosemount:11
Body Armor Flash I.V Zero Lemon Lime 2L,Mixes,Great Lakes Coca-Cola Distribution,5,0.8,6.4,2.17,5.99,64,4,7,Minneapolis:5
Rockstar Energy Sugar Free 16oz can,Mixes,Pepsi-Cola,40,0.8,52.5,0.53,2.49,79,3,11,Rosemount:11;Blaine:13;Cottage Grove:16
Starry Caffeine Free Lemon Lime 12pk 12oz can,Mixes,Pepsi-Cola,46,0.8,58.0,9.23,12.49,26,1,21,Chanhassen:1;Osseo:1;Roseville:1;Minneapolis:2;Plymouth:2;Rosemount:2;St. Louis Park:2;Andover:4;Vadnais Heights:4;Stillwater:5;Woodbury:22
Assorted Retro Drinking Icon Wine Bags,Accessories,"True Brands, Inc.",33,0.8,43.3,1.62,4.49,64,3,11,Blaine:4;Andover:6;Chanhassen:11;Woodbury:12
Fizz: Chrome Champagne Stopper,Accessories,"True Brands, Inc.",55,0.8,72.2,2.65,4.99,47,3,11,Minnetonka:2;Roseville:3;Woodbury:6;Minneapolis:7;St. Louis Park:7;Plymouth:8;Cottage Grove:22
1-Bottle Corks Wine Bag,Accessories,"True Brands, Inc.",44,0.8,56.6,0.81,2.29,65,4,7,Blaine:4;Andover:5;Osseo:5;Roseville:8;Vadnais Heights:8;Woodbury:14
Alani Nu Cosmic Stardust 12oz can,Mixes,Pepsi-Cola,27,0.8,33.4,1.79,3.49,49,4,8,Minneapolis:27
Screw It Wine Bag by Cakewalk,Accessories,"True Brands, Inc.",36,0.8,46.3,1.38,3.49,60,4,7,Plymouth:2;Vadnais Heights:2;Woodbury:2;Cottage Grove:5;Andover:8;Blaine:8;Stillwater:9
Celsius Playa Vibes 12oz can,Mixes,Pepsi-Cola,11,0.8,13.6,1.68,3.49,52,4,8,Minneapolis:2;Andover:9
Loon Arctic Lemon 14mg,Smokeless,"M Amundson, LLP",3,0.8,3.9,6.0,8.99,33,0,25,Minneapolis:3
Aging Room Quattro Nicaragua Vibrato,Cigars,"Fresh Smoke of Minnesota, LLC",27,0.8,32.1,7.12,15.99,55,4,9,Roseville:3;Vadnais Heights:4;Rosemount:5;Cottage Grove:6;Blaine:9
Brisk Pink Lemonade,Pop1,Pepsi-Cola,43,0.7,62.8,1.42,2.49,43,2,13,Blaine:43
Kick Ass Bloody Mary Mix Classic 32oz,Mixes,"Breakthru Beverage Minnesota Wine & Spirits, LLC",0,0.7,0.0,3.67,7.99,54,2,13,
1919 Root Beer 16 Gallon,Mixes,,1,0.7,1.5,94.0,109.99,15,4,4,Blaine:1
Wine Glass - Wine A Little Laugh A Lot,Accessories,,96,0.7,128.6,1.0,4.49,78,4,6,Ramsey:5;Roseville:7;Vadnais Heights:10;Plymouth:14;Chanhassen:19;Woodbury:20;Rosemount:21
Gatorade Gatorlyte Zero Strawberry Kiwi 20oz btl,Mixes,Pepsi-Cola,41,0.7,58.6,1.84,3.49,47,1,18,Blaine:2;Chanhassen:2;Woodbury:37
Aluminum Bottle Opener,Accessories,Bellboy Corporation,146,0.7,199.7,0.29,0.99,71,3,10,St. Louis Park:28;Cottage Grove:118
Owen's Grapefruit & Lime 750ml,Mixes,Phillips Wine & Spirits - St. Paul,18,0.7,27.6,4.61,7.99,42,2,12,Vadnais Heights:2;Minnetonka:4;Minneapolis:12
Red Bull Total Zero 8oz can,Mixes,Red Bull Distribution Company,44,0.7,64.3,1.75,3.49,50,4,4,Bloomington:21;Bloomington:23
Red Bull Total Zero 12oz can,Pop1,Red Bull Distribution Company,20,0.7,29.2,2.28,4.49,49,4,4,Bloomington:20
Propel Grape 20oz,Mixes,Pepsi-Cola,23,0.7,35.2,1.67,1.99,16,2,12,Cottage Grove:23
