Supplier,Average of Price,Average of Sale Price,Buy Month,Product Code,Average of Price A,Item Classification
"Vinocopia, Inc",7.989999999999998,,,8801100130510,6.959999999999997,Good Day 375ml
"Vinocopia, Inc",7.989999999999998,,,8801100130534,6.959999999999997,Good Day 375ml
,19.990000000000002,,,082715100008,0,
"New France Wine Co, Inc",15.990000000000004,,,664841015014,0,
The Wine Company,32.99,,,632930691289,0,
Johnson Brothers - St. Paul,9.99,,,086891079714,0,
Oxford Street Merchants,60.99,0,,047156107504,50.96000000000001,
Oxford Street Merchants,63.99,0,,047156507502,52.96000000000001,
,79.49,,,089541300893,59.960000000000015,
,67.99,,,089541200902,57.960000000000015,
"Tradition Wine & Spirits, LLC",20.990000000000002,,,040232604706,0,
,26.552500000000006,,,530565,16.960000000000004,
McDonald Distributing Co dba Clear River Beverage,12.990000000000002,0,,628504959091,2.4281249999999996,
McDonald Distributing Co dba Clear River Beverage,13.990000000000002,0,,628504959060,1.49375,
"Bourget Imports, LLC",19.990000000000002,,,851895004037,0,
"Bourget Imports, LLC",17.990000000000002,,,851895004044,0,
"New France Wine Co, Inc",22.802500000000006,,,8437012218772,20.20875,
"New France Wine Co, Inc",84.99,0,,611482903002,2.934375,
,35.99,,,400000000435,0,
The Wine Company,12.490000000000002,0,,747846040011,10.960000000000004,Sake One
The Wine Company,8.989999999999998,0,,747846010083,7.959999999999997,Sake One
The Wine Company,17.490000000000002,0,,747846010144,14.960000000000006,Sake One
The Wine Company,12.490000000000002,0,,747846020013,10.960000000000004,Sake One
The Wine Company,12.490000000000002,0,,747846010021,10.960000000000004,Sake One
Southern Glazer's Wine & Spirits of MN,83.3025,,,892159000570,58.834375000000016,
Southern Glazer's Wine & Spirits of MN,19.990000000000002,,,812147021004,16.960000000000004,
Southern Glazer's Wine & Spirits of MN,9.99,,,082242011365,0,
Paustis Wine,15.990000000000004,,,081054994224,0,
,119.99,,,400000016115,0,
Southern Glazer's Wine & Spirits of MN,22.302500000000006,,,8569500008043,18.96,
,14.990000000000004,,,664228497501,0,
The Wine Company,83.99,0,,747736178930,69.96000000000001,
The Wine Company,34.99,,,9120012013018,0,
,12.990000000000002,,,871387000347,0,
Oxford Street Merchants,41.99,,,811994010681,0,
Oxford Street Merchants,74.99,,,811994010469,0,
,36.99,,,811994010582,0,
"New France Wine Co, Inc",18.115000000000002,,,654029001069,16.960000000000004,
,48.99,,,557591,0,
,49.99,,,355416208181,44.646875,
Oxford Street Merchants,12.990000000000002,,,087752010716,0,
Bellboy Corporation,11.990000000000002,,,031259027142,0,
,20.990000000000002,,,016697828049,0,
The Wine Company,16.990000000000002,,,851937007545,0,
"New France Wine Co, Inc",17.990000000000002,,,9120013662727,0,
,15.990000000000004,,,814017010002,0,
,54.99,,,400000009629,0,
Bellboy Corporation,13.990000000000002,,,877244006002,0,
Bellboy Corporation,18.990000000000002,0,,810879024911,15.960000000000006,
Bellboy Corporation,21.990000000000006,0,,810879020876,17.960000000000004,
The Wine Company,13.990000000000002,0,,724826071227,3.9156250000000004,
,12.990000000000002,,,082242921039,0,
The Wine Company,23.052500000000006,,,587202004109,2.495,
Small Lot MN,29.990000000000006,,,850000571013,0,
,47.99,,,810404020586,39.96,
"Grape Beginnings, Inc.",59.99,0,,761503812759,49.02187500000001,
Oxford Street Merchants,22.990000000000006,,,818013012268,0,
Southern Glazer's Wine & Spirits of MN,25.552500000000006,,,853706002058,15.960000000000006,
