Retail Price,Club Price (Anchor),20% Off Retail,$ Savings,Savings,0.95,REG PRICE
462.99,385.96,370.39200000000005,15.567999999999927,0.0403357860918228,385.95,462.99
463.99,386.96,371.192,15.767999999999972,0.04074839776721101,386.95,463.99
465.99,387.96,372.79200000000003,15.16799999999995,0.03909681410454673,387.95,465.99
466.99,388.96,373.59200000000004,15.367999999999938,0.039510489510489355,388.95,466.99
467.99,389.96,374.39200000000005,15.567999999999927,0.03992204328649074,389.95,467.99
468.99,390.96,375.192,15.767999999999972,0.04033149171270711,390.95,468.99
469.99,391.96,375.992,15.967999999999961,0.04073885090315329,391.95,469.99
471.99,392.96,377.59200000000004,15.367999999999938,0.03910830618892493,392.95,471.99
472.99,393.96,378.39200000000005,15.567999999999927,0.03951670220326919,393.95,472.99
473.99,394.96,379.192,15.767999999999972,0.03992303018027135,394.95,473.99
474.99,395.96,379.992,15.967999999999961,0.040327305788463386,395.95,474.99
475.99,396.96,380.79200000000003,16.16799999999995,0.04072954453849242,396.95,475.99
477.99,397.96,382.39200000000005,15.567999999999927,0.039119509498441875,397.95,477.99
478.99,398.96,383.192,15.767999999999972,0.039522759173851944,398.95,478.99
479.99,399.96,383.992,15.967999999999961,0.03992399239923983,399.95,479.99
480.99,400.96,384.79200000000003,16.16799999999995,0.04032322426177162,400.95,480.99
481.99,401.96,385.59200000000004,16.367999999999938,0.040720469698477306,401.95,481.99
483.99,402.96,387.192,15.767999999999972,0.03913043478260863,402.95,483.99
484.99,403.96,387.992,15.967999999999961,0.03952866620457462,403.95,484.99
485.99,404.96,388.79200000000003,16.16799999999995,0.03992493085736851,404.95,485.99
486.99,405.96,389.59200000000004,16.367999999999938,0.040319243275199375,405.95,486.99
487.99,406.96,390.39200000000005,16.567999999999927,0.040711617849419915,406.95,487.99
489.99,407.96,391.992,15.967999999999961,0.03914109226394735,407.95,489.99
490.99,408.96,392.79200000000003,16.16799999999995,0.039534428794992055,408.95,490.99
491.99,409.96,393.59200000000004,16.367999999999938,0.03992584642404122,409.95,491.99
492.99,410.96,394.39200000000005,16.567999999999927,0.040315359159042066,410.95,492.99
493.99,411.96,395.192,16.767999999999972,0.04070298087192925,411.95,493.99
495.99,412.96,396.79200000000003,16.16799999999995,0.03915149166989527,412.95,495.99
496.99,413.96,397.59200000000004,16.367999999999938,0.039540052178954344,413.95,496.99
497.99,414.96,398.39200000000005,16.567999999999927,0.03992673992673975,414.95,497.99
498.99,415.96,399.192,16.767999999999972,0.04031156842004032,415.95,498.99
499.99,416.96,399.992,16.96799999999996,0.04069455103607052,416.95,499.99
501.99,417.96,401.59200000000004,16.367999999999938,0.039161642262417314,417.95,501.99
502.99,418.96,402.39200000000005,16.567999999999927,0.039545541340461926,418.95,502.99
503.99,419.96,403.192,16.767999999999972,0.03992761215353837,419.95,503.99
504.99,420.96,403.992,16.96799999999996,0.040307867730900705,420.95,504.99
505.99,421.96,404.79200000000003,17.16799999999995,0.04068632097829166,421.95,505.99
507.99,422.96,406.39200000000005,16.567999999999927,0.03917155286551903,422.95,507.99
508.99,423.96,407.192,16.767999999999972,0.039550901028398845,423.95,508.99
509.99,424.96,407.992,16.96799999999996,0.0399284638554216,424.95,509.99
510.99,425.96,408.79200000000003,17.16799999999995,0.0403042539205558,425.95,510.99
511.99,426.96,409.59200000000004,17.367999999999938,0.040678283679969875,426.95,511.99
513.99,427.96,411.192,16.767999999999972,0.03918123189083086,427.95,513.99
514.99,428.96,411.992,16.96799999999996,0.039556135770234896,428.95,514.99
515.99,429.96,412.79200000000003,17.16799999999995,0.0399292957484416,429.95,515.99
516.99,430.96,413.59200000000004,17.367999999999938,0.04030072396510103,430.95,516.99
517.99,431.96,414.39200000000005,17.567999999999927,0.04067043244744867,431.95,517.99
519.99,432.96,415.992,16.96799999999996,0.03919068736141898,432.95,519.99
520.99,433.96,416.79200000000003,17.16799999999995,0.03956124988478189,433.95,520.99
521.99,434.96,417.59200000000004,17.367999999999938,0.03993010851572544,434.95,521.99
522.99,435.96,418.39200000000005,17.567999999999927,0.040297274979355736,435.95,522.99
523.99,436.96,419.192,17.767999999999972,0.04066276089344556,436.95,523.99
525.99,437.96,420.79200000000003,17.16799999999995,0.039199926933966456,437.95,525.99
526.99,438.96,421.59200000000004,17.367999999999938,0.03956624749407677,438.95,526.99
527.99,439.96,422.39200000000005,17.567999999999927,0.03993090280934614,439.95,527.99
528.99,440.96,423.192,17.767999999999972,0.04029390420899849,440.95,528.99
529.99,441.96,423.992,17.96799999999996,0.04065526291972116,441.95,529.99
531.99,442.96,425.59200000000004,17.367999999999938,0.03920895791945083,442.95,531.99
532.99,443.96,426.39200000000005,17.567999999999927,0.0395711325344624,443.95,532.99
533.99,444.96,427.192,17.767999999999972,0.03993167925206754,444.95,533.99
534.99,445.96,427.992,17.96799999999996,0.0402906090232307,445.95,534.99
535.99,446.96,428.79200000000003,18.16799999999995,0.04064793270091272,446.95,535.99
537.99,447.96,430.39200000000005,17.567999999999927,0.03921778730243756,447.95,537.99
538.99,448.96,431.192,17.767999999999972,0.03957590876692795,448.95,538.99
539.99,449.96,431.992,17.96799999999996,0.03993243843897227,449.95,539.99
540.99,450.96,432.79200000000003,18.16799999999995,0.04028738690792964,450.95,540.99
541.99,451.96,433.59200000000004,18.367999999999938,0.04064076466943964,451.95,541.99
543.99,452.96,435.192,17.767999999999972,0.039226421759095666,452.95,543.99
544.99,453.96,435.992,17.96799999999996,0.03958057978676527,453.95,544.99
545.99,454.96,436.79200000000003,18.16799999999995,0.039933180938983535,454.95,545.99
546.99,455.96,437.59200000000004,18.367999999999938,0.04028423545925068,455.95,546.99
547.99,456.96,438.39200000000005,18.567999999999927,0.0406337535014004,456.95,547.99
549.99,457.96,439.992,17.96799999999996,0.039234867674032586,457.95,549.99
550.99,458.96,440.79200000000003,18.16799999999995,0.03958514903259532,458.95,550.99
551.99,459.96,441.59200000000004,18.367999999999938,0.0399339072962865,459.95,551.99
552.99,460.96,442.39200000000005,18.567999999999927,0.04028115237764649,460.95,552.99
553.99,461.96,443.192,18.767999999999972,0.04062689410338552,461.95,553.99
555.99,462.96,444.79200000000003,18.16799999999995,0.03924313115603929,462.95,555.99
556.99,463.96,445.59200000000004,18.367999999999938,0.039589619794809766,463.95,556.99
557.99,464.96,446.39200000000005,18.567999999999927,0.03993461803165848,464.95,557.99
558.99,465.96,447.192,18.767999999999972,0.04027813546227138,465.95,558.99
559.99,466.96,447.992,18.96799999999996,0.04062018160013697,466.95,559.99
561.99,467.96,449.59200000000004,18.367999999999938,0.039251218052824895,467.95,561.99
562.99,468.96,450.39200000000005,18.567999999999927,0.039593995223473066,468.95,562.99
563.99,469.96,451.192,18.767999999999972,0.039935313643714304,469.95,563.99
564.99,470.96,451.992,18.96799999999996,0.04027518260574138,470.95,564.99
565.99,471.96,452.79200000000003,19.16799999999995,0.04061361132299337,471.95,565.99
567.99,472.96,454.39200000000005,18.567999999999927,0.039259133964817165,472.95,567.99
568.99,473.96,455.192,18.767999999999972,0.03959827833572448,473.95,568.99
569.99,474.96,455.992,18.96799999999996,0.03993599461007235,474.95,569.99
570.99,475.96,456.79200000000003,19.16799999999995,0.04027229178922588,475.95,570.99
571.99,476.96,457.59200000000004,19.367999999999938,0.04060717879906059,476.95,571.99
573.99,477.96,459.192,18.767999999999972,0.03926688425809686,477.95,573.99
574.99,478.96,459.992,18.96799999999996,0.0396024720227158,478.95,574.99
575.99,479.96,460.79200000000003,19.16799999999995,0.03993666138844893,479.95,575.99
576.99,480.96,461.59200000000004,19.367999999999938,0.04026946107784418,480.95,576.99
577.99,481.96,462.39200000000005,19.567999999999927,0.0406008797410572,481.95,577.99
579.99,482.96,463.992,18.96799999999996,0.039274474076527996,482.95,579.99
580.99,483.96,464.79200000000003,19.16799999999995,0.039606579056120236,483.95,580.99
581.99,484.96,465.59200000000004,19.367999999999938,0.039937314417683806,484.95,581.99
582.99,485.96,466.39200000000005,19.567999999999927,0.04026668861634688,485.95,582.99
583.99,486.96,467.192,19.767999999999972,0.04059471003778539,486.95,583.99
585.99,487.96,468.79200000000003,19.16799999999995,0.0392819083531436,487.95,585.99
586.99,488.96,469.59200000000004,19.367999999999938,0.039610602094240714,488.95,586.99
587.99,489.96,470.39200000000005,19.567999999999927,0.03993795411870342,489.95,587.99
588.99,490.96,471.192,19.767999999999972,0.04026397262506105,490.95,588.99
589.99,491.96,471.992,19.96799999999996,0.04058866574518246,491.95,589.99
591.99,492.96,473.59200000000004,19.367999999999938,0.03928919182083727,492.95,591.99
592.99,493.96,474.39200000000005,19.567999999999927,0.03961454368774785,493.95,592.99
593.99,494.96,475.192,19.767999999999972,0.03993858089542584,494.95,593.99
594.99,495.96,475.992,19.96799999999996,0.04026131139608025,495.95,594.99
595.99,496.96,476.79200000000003,20.16799999999995,0.04058274307791362,496.95,595.99
597.99,497.96,478.39200000000005,19.567999999999927,0.03929632902241129,497.95,597.99
598.99,498.96,479.192,19.767999999999972,0.0396184062850729,498.95,598.99
599.99,499.96,479.992,19.96799999999996,0.03993919513561077,499.95,599.99
600.99,500.96,480.79200000000003,20.16799999999995,0.04025870328968371,500.95,600.99
601.99,501.96,481.59200000000004,20.367999999999938,0.04057693840146613,501.95,601.99
603.99,502.96,483.192,19.767999999999972,0.039303324320025396,502.95,603.99
604.99,503.96,483.992,19.96799999999996,0.03962219223747909,503.95,604.99
605.99,504.96,484.79200000000003,20.16799999999995,0.03993979721166023,504.95,605.99
606.99,505.96,485.59200000000004,20.367999999999938,0.04025614673096675,505.95,606.99
