Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Vendor UPC,Item Number,Net Case EO,Net Cs EO/Unit,Competitor Pricing
Midnight Moon Cinnamon,851767001676,Liquor,750ml,6,PIEDMONT DISTILLERS INC,Breakthru Beverage, ,All,97.15,,96,16.191666666666666,20.99,,96,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851767001676",9226759,16.191666666666666,97.15,0.22860092107352703
Midnight Moon Cran-Apple Pie,851767001669,Liquor,750ml,6,PIEDMONT DISTILLERS INC,Breakthru Beverage, ,All,97.15,,96,16.191666666666666,20.99,,96,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851767001669",9236265,16.191666666666666,97.15,0.22860092107352703
Midnight Moon Cranberry,851767001188,Liquor,750ml,6,PIEDMONT DISTILLERS INC,Breakthru Beverage, ,All,97.15,,96,16.191666666666666,20.99,,96,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851767001188",9135643,16.191666666666666,97.15,0.22860092107352703
Midnight Moon Oak Cask,851767001034,Liquor,750ml,6,PIEDMONT DISTILLERS INC,Breakthru Beverage, ,All,97.15,,96,16.191666666666666,20.99,,96,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851767001034",9249805,16.191666666666666,97.15,0.22860092107352703
Midnight Moon Strawberry,851767001263,Liquor,375 ml,6,PIEDMONT DISTILLERS INC,Breakthru Beverage, ,All,61.15,,60,10.191666666666666,12.99,,60,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC851767001263",9167925,10.191666666666666,61.15,0.2154221195791635
Midwest Gin,895412001055,Liquor,Liter,12,45TH PARALLEL SPIRITS,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN895412001055,316306,0,0,
Milagro Anejo Tequila,083664868971,Liquor,750ml,6,WM GRANT & SONS,Breakthru Beverage,1cs Sailor Jerry 1.75L on 20 M&M - accumulating monthly,April|May,211.55,,216,35.25833333333333,46.99,,216, ,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC083664868971",9001699,35.25833333333333,211.55,
Milagro Reposado Tequila,083664874071,Liquor,375 ml,12,WM GRANT & SONS,Breakthru Beverage,,All,154.1,,152.95,12.841666666666667,16.99,,152.95,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC083664874071",9392449,12.841666666666667,154.1,
Milagro Romance Tequila,83664869015,Liquor,Ltr,1,WM GRANT & SONS,Breakthru Beverage, ,All,434.84,,433.69,434.84,563.99,,433.69,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC83664869015",9001697,434.84,434.84,0.22899342186918215
Milagro Select Reserve Silver,83664869640,Liquor,750ml,6,WM GRANT & SONS,Breakthru Beverage, ,All,181.15,,180,30.191666666666666,38.99,,180,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC83664869640",9018324,30.191666666666666,181.15,0.22565615114986753
Miles London Dry Gin,88004027537,Liquor,50 ml,120,SAZERAC,Breakthru Beverage, ,All,80.95,,79.8,0.6745833333333333,0.99,,79.8,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC88004027537",9322785,0.6745833333333333,80.95,0.3186026936026936
Millers Gin 90 proof,698929000241,Liquor,750ml,6,PARK ST IMP/ZAMORA AMERICAS,Breakthru Beverage, ,All,151.15,,150,25.191666666666666,32.99,,150,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC698929000241",9065870,25.191666666666666,151.15,0.23638476305951303
Minor Case Rye Sherry Finished,088352131702,Liquor,750 ml,6,LUXCO INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN088352131702,468245,0,0,
Misc Liquor Credit,80,Liquor,,1,,Breakthru Beverage,,,,,,0,,,,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC80",,,,
Molinari Sambuca,813840007500,Liquor,750 ml,6,TOTAL BEVERAGE SOLUTIONS,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN813840007500,91597,0,0,
Monaco Black Cherry,891278002861,Liquor,4 pk can,6,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,37.15,,36,6.191666666666666,7.99,,36,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002861",9380309,6.191666666666666,37.15,0.22507300792657495
Monaco Black Cherry,891278002854,Liquor,12 oz cn,24,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,37.15,,36,1.5479166666666666,1.99,,36,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002854",9380309,1.5479166666666666,37.15,0.22215242881072028
Monaco Kentucky Mule,891278002748,Liquor,4 pk can,6,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,46.61,,54,7.7683333333333335,11.99,,45.46,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002748",9336568,7.7683333333333335,46.61,0.3520989713650264
Monaco Lemon Lime,891278002830,Liquor,4 pk can,6,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,46.61,0,54,7.7683333333333335,11.99,,45.46,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002830",9322793,7.7683333333333335,46.61,
Monaco Lemon Splash Seltzer,891278002922,Liquor,4 pk can,6,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,37.15,,36,6.191666666666666,7.99,,36,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002922",9380571,6.191666666666666,37.15,0.22507300792657495
Monaco Red Razz Berry Seltzer,891278002892,Liquor,4 pk can,6,"ATOMIC BRANDS, INC.",Breakthru Beverage,net down pricing ,All,37.15,,36,6.191666666666666,7.99,,36,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC891278002892",9380310,6.191666666666666,37.15,0.22507300792657495
Monte Alban Reposado Tequila,089000577255,Liquor,1.75 L,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000577255,245441,0,0,
Monte Alban Reposado Tequila,089000577262,Liquor,Ltr,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000577262,159806,0,0,
Monte Alban Silver Tequila,089000577286,Liquor,1.75 L,6,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000577286,245440,0,0,
Monte Alban Silver Tequila,089000577293,Liquor,Liter,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000577293,160988,0,0,
Montezuma Gold Tequila,082928348051,Liquor,750 ml,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN082928348051,21916,0,0,
Montezuma Silver Tequila,080660576534,Liquor,Ltr,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080660576534,17590,0,0,
Morty's Mosquito Juice Bloody,041550000232,Misc,Ltr,12,CARRIAGE HOUSE COMPANIES,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN041550000232,325773,0,0,
Mr & Mrs Manhattan Mix,070655933800,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655933800",9106144,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs Old Fashioned Mix,070655963807,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655963807",9106145,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs T Bold & Spicy Bloody Mary Mix,070655001295,Misc,8 pk can,2,MOTTS LLP,Breakthru Beverage,net down pricing ,All,13.200000000000001,,12.05,6.6000000000000005,7.99,,12.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655001295",9448136,6.6000000000000005,13.200000000000001,0.17396745932415514
Mr & Mrs T Fiery Pepper Bloody,070655000328,Misc,1.75 L,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,39.11,,39.96,6.5183333333333335,8.99,,37.96,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655000328",9227559,6.5183333333333335,39.11,0.27493511308861696
Mr & Mrs T Fiery Pepper Bloody,070655000311,Misc,Liter,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655000311",9227560,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs T Pina Colada,070655960301,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655960301",9004815,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs T Premium Blend,070655904121,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655904121",9159927,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs T Strawberry Daiquiri,070655947302,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655947302",9004814,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs T Whiskey Sour Mix,070655950302,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655950302",9004816,4.533333333333333,27.2,0.3514544587505961
Mr & Mrs Tom Collins Mix,070655923801,Misc,Ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC070655923801",9106146,4.533333333333333,27.2,0.3514544587505961
Mr Boston Creme de Banana,089000018925,Liquor,Liter,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN089000018925,71364,0,0,
Mr. & Mrs. T's Sangria Mix ,70655000595,Misc,1 ltr,6,MOTTS LLP,Breakthru Beverage,5 case deal on invoice,All,27.2,,30.11,4.533333333333333,6.99,,26.05,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC70655000595",9382485,4.533333333333333,27.2,0.3514544587505961
Muddle & Mint Grapefruit-Rosemary,850019399066,Misc,32 oz,6,,,,,0,0,,0,-0.01,,,,,99066,0,0,
Muddle & Mint Grapefruit-Rosemary,850019399059,Misc,4 pk can,6,AMCS,Am Craft Spirits,,All,54,0,60,9,12.99,,54,54,VEN0047 AM Craft Spirits850019399059,MM39906,9,54,
Muddle & Mint Grapefruit-Rosemary,850019399059,Misc,4 pk can,6,,Small Lot,TTL Best Pricing,All,56,0,66,9.333333333333334,13.99,,56,56,40000 Small Lot MN850019399059,MNMUDGRPROSCANNV,9.333333333333334,56,
Muddle & Mint Green Tea-Mint,850019399073,Misc,32 oz,6,,,,,0,0,,0,-0.01,,,,,99073,0,0,
Muddle & Mint Green Tea-Mint,850019399035,Misc,4 pk can,6,AMCS,Am Craft Spirits,,All,54,0,60,9,12.99,,54,54,VEN0047 AM Craft Spirits850019399035,MM399035,9,54,
Muddle & Mint Green Tea-Mint,850019399035,Misc,4 pk can,6,,Small Lot,TTL Best Pricing,All,56,0,66,9.333333333333334,13.99,,56,56,40000 Small Lot MN850019399035,MNMUDGRNTEACANNV,9.333333333333334,56,
Muddle & Mint Hibiscus-Sage,850019399080,Misc,32 oz,6,,,,,0,0,,0,-0.01,,,,,39908,0,0,
Muddle & Mint Hibiscus-Sage,850019399042,Misc,4 pk can,6,AMCS,Am Craft Spirits,,All,54,0,60,9,12.99,,54,54,VEN0047 AM Craft Spirits850019399042,MM399399042,9,54,
Muddle & Mint Hibiscus-Sage,850019399042,Misc,4 pk can,6,,Small Lot,TTL Best Pricing,All,56,0,66,9.333333333333334,13.99,,56,56,40000 Small Lot MN850019399042,MNMUDHIBSAGCANNV,9.333333333333334,56,
Myers's Dark Rum,08771300,Liquor,750 ml,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN08771300,23234,0,0,
Myers's Dark Rum,08771203,Liquor,Liter,12,SAZERAC COMPANY INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN08771203,23226,0,0,
Myers's Dark Rum PET,08771300,Liquor,750ml,12,SAZERAC,Breakthru Beverage, ,All,181.15,,180,15.095833333333333,19.99,,180,,"WB Breakthru Beverage Minnesota Wine & Spirits, LLC08771300",9000294,15.095833333333333,181.15,0.24483074870768712
Nassau Royale Liqueur,080480335304,Liquor,Liter,12,BACARDI USA INC,Southern Wine & Spirits,,,0,0,,0,-0.01,,0,0,SWS Southern Glazer's Wine & Spirits of MN080480335304,199802,0,0,
Neversink Gin,859043005424,Liquor,750ml,6,Neversink,The Wine Company, ,All,195.5,0,206,32.583333333333336,44.99,,194,194,TWC The Wine Company859043005424,19266,32.583333333333336,195.5,
New Amsterdam Coconut Vodka,085000021361,Liquor,750 ml,12,Gallo,Johnson Brothers Liquor Co,,All,99.5,0,108.5,8.291666666666666,11.99,,99.5,99.5,JB Johnson Brothers - St. Paul085000021361,000022354,8.291666666666666,99.5,
