upc,Item,Department
850018947411,Wild State Birdie Blood Orange 10mg THC 4pk 12oz can,THC
850018947817,Wild State Birdie Grapefruit Twist 10mg THC 4pk 12oz can,THC
850018947527,Wild State Birdie Moscow Mule 10mg THC 4pk 12oz can,THC
850018947718,Wild State Birdie Trop Green Tea 10mg THC 4pk 12oz can,THC
810109863761,Wyld Blackberry Lemon 10mg THC 4pk 12oz cans,THC
810109863723,Wyld Mango 10mg THC 4pk 12oz cans,THC
810109863754,Wyld Raspberry Lime 10mg THC 4pk 12oz can,THC
810109863747,Wyld Strawberry Guava 10mg THC 4pk 12oz cans,THC
810109863730,Wyld Watermelon 10mg THC 4pk 12oz cans,THC
198715683899,Wynk Lemonade Variety Pack 10mg THC 12pk 12oz can,THC
198715172546,Wynk Mandarin Pomelo 5mg THC 12pk 12oz can,THC
197644029709,Wynk Tangerine 5mg THC 6pk 12oz can,THC
197644343683,Wynk Variety Pack 5mg THC 12pk 12oz can,THC
51497424688,You Betcha Coffee Crisp 5mg THC 10 Pack,THC
810023141020,You Betcha Day Time Pineapple Mango 6pk 12oz btl,THC
810023141006,You Betcha Daytime 5mg THC 4pk 12oz can,THC
51497242343,You Betcha Lemon Ginger Bar 10 Pack,THC
810023141037,You Betcha Night Time Blackberry Lemon 6pk 12oz btl,THC
810073083202,CANN Blood Orange Cardamom 2mg THC 4pk 8oz can,THC
810073082632,CANN Blood Orange Cardamom Liquid Pack 2mg THC .5oz,THC
810073083288,CANN Cranberry Sage 2mg THC,THC
810073083370,CANN Ginger Lemongrass Liquid Pack 2mg THC .5oz,THC
810073083226,CANN Grapefruit Rosemary 2mg THC 4pk 8oz can,THC
810073082649,CANN Grapefruit Rosemary Liquid Pack 2mg THC .5oz,THC
810073082793,CANN Hi Boy Blood Orange Cardamom 5mg THC 4pk 12oz can,THC
810073082892,CANN Hi Boy Cranberry Sage 5mg THC – Outgoing Seasonal,THC
810073082991,CANN Hi Boy Ginger Lemongrass 5mg THC – New Seasonal,THC
810073082809,CANN Hi Boy Grapefruit Rosemary 5mg THC 4pk 12oz can,THC
810073082755,CANN Hi Boy Lemon Lavender 5mg THC 4pk 12oz can,THC
810073083264,CANN Hi Boy Yuzu Elderflower 5mg THC 4pk 12oz can,THC
810073083646,CANN Hi'er Boy Blood Orange Cardamom 10mg THC 4pk 12oz can,THC
810073084094,CANN Hi'er Boy Ginger Lemongrass 10mg THC – New Seasonal,THC
810073083652,CANN Hi'er Boy Grapefruit Rosemary 10mg THC 4pk 12oz can,THC
810073083639,CANN Hi'er Boy Lemon Lavender 10mg THC 4pk 12oz can,THC
810073083219,CANN Lemon Lavender 2mg THC 4pk 8oz can,THC
810073082625,CANN Lemon Lavender Liquid Pack 2mg THC .5oz,THC
810073083042,CANN Variety Pack 2mg THC 12pk 8oz can,THC
810073083554,CANN Yuzu Elderflower 2mg THC 4pk 8oz can,THC
810073083455,CANN Yuzu Elderflower Liquid Pack 2mg THC .5oz,THC
850018968034,Chill State Grapefruit Kush 4pk 16oz can,THC
850018968737,Chill State Pineapple Express 4pk 16oz can,THC
850018968744,Chill State Super Lemon Haze 10mg THC 4pk 16oz can,THC
649696361431,Forbidden Fruit Iced Tea Lemonade 10mg THC 4pk 12oz can,THC
649696026200,Forbidden Fruit Lemonade 10mg THC 4pk 12oz can,THC
850060645044,Howdy Lemonade 5mg THC 4pk 12oz can,THC
850060645518,Howdy Paloma 5mg THC 4pk 12oz can,THC
850060645525,Howdy Ranch Water 5mg THC 4pk 12oz can,THC
850060645020,Howdy Sweet Tea 5mg 4pk 12oz can,THC
649696462138,Minnesota Nice Caramels 10 Pack,THC
850027710860,Nibbana Blue Razz 4pk 12oz can,THC
850027710921,Nibbana Blue Razz Caffeine 4pk 12oz can,THC
