Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
90+ Cellars Cab Sauv California Lot 225 750ml,Cabernet,Bellboy Corporation,871,41.5,21.0,6.7,15.99,12.96,58,,179,527,Minnetonka:19;Minneapolis:23;Woodbury:28;Vadnais Heights:30;Ramsey:32;Andover:32;Stillwater:34;Osseo:40;St. Louis Park:44;Bloomington:46;Roseville:51;Rosemount:60;Chanhassen:60;Cottage Grove:79;Plymouth:100;Blaine:193
Black Box Chardonnay 500ml,Chardonnay,Johnson Brothers - St. Paul,179,41.0,4.4,3.43,5.49,4.96,38,,178,517,Woodbury:1;Chanhassen:1;Osseo:3;Ramsey:4;Minnetonka:5;Bloomington:6;Rosemount:6;Blaine:6;Andover:11;Vadnais Heights:13;St. Louis Park:13;Minneapolis:14;Roseville:17;Plymouth:18;Cottage Grove:24;Stillwater:37
Jinro Green Grape 375ml,Fortified,Johnson Brothers - St. Paul,249,40.8,6.1,4.05,6.99,5.96,42,,154,619,Ramsey:1;Osseo:2;Stillwater:4;Cottage Grove:8;Andover:12;Rosemount:13;Chanhassen:15;Minnetonka:16;Bloomington:16;St. Louis Park:16;Plymouth:17;Blaine:17;Woodbury:18;Vadnais Heights:19;Roseville:22;Minneapolis:53
Libretto Pinot Gris 750ml,Pinot Grigio/Gris,Paustis Wine,420,39.9,10.5,4.65,12.99,9.96,64,,132,689,Andover:5;Osseo:6;Ramsey:12;Roseville:12;Plymouth:16;Stillwater:16;St. Louis Park:20;Blaine:23;Cottage Grove:24;Rosemount:24;Woodbury:27;Minneapolis:28;Minnetonka:35;Bloomington:44;Chanhassen:45;Vadnais Heights:83
Les Allies Blanc de Blanc 750ml,Sparkling,"Maverick Beverage Co., LLC - MN",419,39.9,10.5,6.38,14.99,12.96,57,,165,539,Plymouth:3;Minnetonka:5;Osseo:5;Ramsey:5;Andover:5;Chanhassen:5;Stillwater:8;Cottage Grove:8;Rosemount:8;Vadnais Heights:10;Woodbury:15;Bloomington:47;Roseville:47;St. Louis Park:50;Minneapolis:67;Blaine:131
Whispering Angel Rose 750ml,Rose,Oxford Street Merchants,285,39.4,7.2,13.83,23.99,19.96,42,,176,475,Plymouth:4;Chanhassen:6;Minneapolis:7;Stillwater:8;Rosemount:9;Roseville:9;Osseo:10;Ramsey:10;Andover:15;Cottage Grove:15;Minnetonka:19;Vadnais Heights:20;Bloomington:26;Blaine:32;St. Louis Park:97
Big Bad Bourbon Barrel Cabernet Sauvignon 750ml,Cabernet,Paustis Wine,421,38.9,10.8,6.32,14.99,12.96,58,,137,634,Plymouth:3;Minnetonka:4;Vadnais Heights:6;Roseville:15;Stillwater:25;Woodbury:27;Osseo:30;Blaine:31;Chanhassen:33;Ramsey:37;Rosemount:37;Cottage Grove:40;Minneapolis:57;Andover:79
Pine Ridge Chen Blanc/Viognier 750ml,White Blends,Oxford Street Merchants,220,37.8,5.8,8.4,13.79,11.96,39,,171,445,Stillwater:5;Minneapolis:5;Andover:6;Rosemount:7;Cottage Grove:7;Minnetonka:7;Blaine:8;Osseo:9;Vadnais Heights:9;Plymouth:10;Woodbury:11;Chanhassen:17;St. Louis Park:19;Bloomington:33;Roseville:67
Bota Box Redvolution 3L Box,Red Blends,Phillips Wine & Spirits - St. Paul,108,37.0,2.9,13.4,19.99,16.96,33,,169,429,Bloomington:1;Chanhassen:2;Blaine:2;Ramsey:3;Roseville:3;Minnetonka:4;Osseo:4;Rosemount:4;Vadnais Heights:5;Minneapolis:6;Plymouth:7;Stillwater:8;Cottage Grove:12;Woodbury:13;Andover:14;St. Louis Park:20
Chateau La Caussade Sauvignon Blanc 750ml,Sauvignon Blanc,Rue 38 LLC,566,36.1,15.7,7.67,16.99,14.96,55,,166,414,Minneapolis:9;Plymouth:11;Ramsey:14;Minnetonka:17;Vadnais Heights:19;Cottage Grove:23;Woodbury:25;Osseo:35;Andover:37;Rosemount:38;Blaine:38;Stillwater:39;St. Louis Park:43;Bloomington:44;Chanhassen:50;Roseville:124
