upc,store,cases,description,vendor
643459379541,Osseo,2,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Osseo,2,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Osseo,1,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Osseo,2,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Osseo,1,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Osseo,1,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Osseo,2,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Plymouth,5,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Plymouth,5,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Plymouth,5,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Plymouth,3,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Plymouth,5,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Plymouth,5,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Plymouth,4,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Plymouth,4,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Plymouth,4,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Plymouth,3,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Plymouth,4,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Plymouth,3,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Plymouth,4,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Plymouth,3,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Ramsey,2,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Ramsey,1,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Ramsey,1,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Ramsey,2,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Ramsey,2,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Ramsey,2,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Ramsey,2,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
643459379541,Ramsey,2,Gigli Mango Seltzer 10mg THC 4pk 12oz can,Gigli
643459380035,Ramsey,2,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,Gigli
643459379930,Ramsey,1,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,Gigli
643459379954,Ramsey,2,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,Gigli
643459379961,Ramsey,1,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,Gigli
198168016879,Ramsey,2,Gigli Raspberry Tea 10mg THC 4pk 12oz can,Gigli
643459379909,Ramsey,2,Gigli Variety 5mg THC 4pk 12oz can,Gigli
643459380028,Rosemount,3,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,Gigli
643459379916,Rosemount,2,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,Gigli
643459379992,Rosemount,4,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,Gigli
643459379947,Rosemount,3,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,Gigli
643459379305,Rosemount,2,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,Gigli
643459380004,Rosemount,4,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,Gigli
198168611401,Rosemount,3,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,Gigli
