Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Rosemount,,Camel Blue 99s,012300200608,1,1.1,3,3,12.81,38.0
Rosemount,,MN Ice Cylinder,865839000221,1,1.1,3,3,5.49,16.0
Rosemount,,MN Ice Rock,865839000238,7,1.5,12,12,5.49,66.0
Rosemount,,MN Ice Sphere,865839000283,3,2.6,2,2,6.25,13.0
Roseville,Am Craft Spirits,Liber & Co Old Fashioned Syrup 375ml,5061029440401,0,0.0,1,6,13.0,78.0
Roseville,Am Craft Spirits,Liber & Co Blood Orange 500ml,614409550181,0,0.0,1,12,10.93,131.0
Roseville,Bellboy Corporation,Clamato Tomato Cocktail 32oz,014800513240,-1,-0.9,1,12,3.82,46.0
Roseville,Bellboy Corporation,Vikings Zipper Bottle Cooler,032085229724,0,0.0,1,1,5.41,5.0
Roseville,Bellboy Corporation,Traverse City Cherries 21oz,859122005246,0,0.0,1,6,11.74,70.0
Roseville,Bellboy Corporation,SBOC Pimento Stuffed 5oz,089156001130,0,0.0,1,6,3.6,22.0
Roseville,Bellboy Corporation,SBOC Garlic Olives 5oz,089156801280,0,0.0,1,6,4.27,26.0
Roseville,Bellboy Corporation,Roses Grenadine 12oz,01667436,0,0.0,1,6,3.73,22.0
Roseville,Bellboy Corporation,Clamato Tomato Cocktail 64oz,014800516470,0,0.0,1,8,6.0,48.0
Roseville,Bellboy Corporation,Ocean Spray Orange Juice 32oz,031200007360,0,0.0,1,12,3.53,42.0
Roseville,Bellboy Corporation,Spooky Dill Pickle Bloody Mix 32oz,859579004434,0,0.0,1,12,4.48,54.0
Roseville,Bellboy Corporation,Tajin clasico seasoning rimmer,633148599305,1,1.4,1,12,4.76,57.0
Roseville,Bellboy Corporation,Spooky Margarita Mix 32oz,859579004052,1,1.4,1,12,4.34,52.0
Roseville,Bellboy Corporation,Red Party Cups 16 count,639277877215,5,2.7,1,48,2.75,132.0
Roseville,Bellboy Corporation,ReaLime 5oz,041409000062,19,2.8,1,24,0.99,24.0
Roseville,Bellboy Corporation,SBOC Jalapeno Olives 5oz,089156801112,2,2.9,1,6,3.75,22.0
Roseville,Bellboy Corporation,Luxardo Maraschino Cherries 12oz,187229127289,6,3.7,1,12,12.95,155.0
Roseville,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Mr & Mrs T Bloody Mary 1.75L,070655910016,0,0.0,1,6,7.4,44.0
Roseville,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Mr & Mrs T Bold & Spicy 1.75L,070655910030,0,0.0,1,6,7.5,45.0
Roseville,"Capitol Beverage Sales, L.P.",Polar Club Soda Liter,071537020045,1,0.1,5,60,0.89,53.0
Roseville,"Capitol Beverage Sales, L.P.",Mr Pure Pineapple Juice 32oz,072718100631,5,1.3,1,12,2.59,31.0
Roseville,"Capitol Beverage Sales, L.P.",Mr Pure Ruby Red Grapefruit Juice 32oz,072718100075,2,1.7,1,12,2.54,30.0
Roseville,"Capitol Beverage Sales, L.P.",Polar Diet Tonic Water w/Lime Liter,071537020670,11,3.4,1,12,0.7,8.0
Roseville,Charm LLC,Charm Social Tonic Lemon Ginger 4pk 12oz can,400000025575,2,3.6,1,6,9.67,58.0
Roseville,"Chas A. Bernick, Inc.",Mr Pure Cranberry Juice 64oz,072718101546,1,0.4,2,12,2.33,28.0
Roseville,"Chas A. Bernick, Inc.",Mr Pure Orange Juice 64oz,072718101522,3,1.1,2,12,2.56,31.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Diet 12pk 12oz can,049000028911,0,0.0,2,4,9.54,38.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Cherry 2L,049000050165,0,0.0,1,8,3.19,25.0
Roseville,Great Lakes Coca-Cola Distribution,Minute Maid Lemonade 2L,025000053818,0,0.0,1,8,3.21,26.0
Roseville,Great Lakes Coca-Cola Distribution,Sprite 2L,049000050158,0,0.0,2,16,3.21,51.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Diet 20oz,049000000450,1,0.2,1,24,2.07,50.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Vanilla 20oz,049000031171,1,1.1,1,24,2.02,48.0
Roseville,Great Lakes Coca-Cola Distribution,Coke 2L,049000050103,5,1.9,1,8,3.2,26.0
Roseville,Great Lakes Coca-Cola Distribution,Coke 20oz,04904403,7,1.9,1,24,2.08,50.0
Roseville,Great Lakes Coca-Cola Distribution,Sprite 12pk 12oz can,049000028928,2,2.1,1,2,9.64,19.0
Roseville,Great Lakes Coca-Cola Distribution,Seagrams Ginger Ale 2L,072979004181,1,2.1,1,8,3.19,26.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Zero 2L,049000050141,2,2.1,1,8,3.21,26.0
Roseville,Great Lakes Coca-Cola Distribution,Sprite Zero 20oz,049000037197,5,2.4,1,24,1.92,46.0
Roseville,Great Lakes Coca-Cola Distribution,Coke 12pk 12oz can,049000028904,3,2.6,1,2,9.64,19.0
Roseville,Great Lakes Coca-Cola Distribution,Fresca 2L,049000050288,8,2.6,1,8,3.21,26.0
Roseville,Great Lakes Coca-Cola Distribution,Coke Zero 20oz,049000040869,11,3.9,1,24,2.08,50.0
Roseville,Johnson Brothers - St. Paul,Master of Mixes Marg Mix Liter,070491212725,0,0.0,1,12,1.28,15.0
Roseville,Johnson Brothers - St. Paul,Master of Mixes Simple Syrup 375ml,070491352070,9,3.5,1,12,2.67,32.0
Roseville,"M Amundson, LLP",Marlboro Silver 100s,02847829,14,2.3,2,20,12.54,251.0
Roseville,"M Amundson, LLP",Camel Blue Box,01230739,8,3.1,1,10,12.85,128.0
Roseville,"M Amundson, LLP",Marlboro 100s,02836328,16,3.1,1,10,12.55,125.0
Roseville,Pepsi-Cola,Schweppes Club Soda Liter,078000203455,-2,-1.0,1,15,1.43,21.0
Roseville,Pepsi-Cola,Pepsi 10pk 8oz can,012000173226,0,0.0,1,3,5.76,17.0
Roseville,Pepsi-Cola,Starry Zero 10pk 8oz can,012000222405,0,0.0,1,3,5.13,15.0
Roseville,Pepsi-Cola,Schweppes Ginger Ale 6pk 8oz,078000002133,0,0.0,2,8,3.9,31.0
Roseville,Pepsi-Cola,Dr. Pepper 2L,078000082463,0,0.0,1,8,2.4,19.0
Roseville,Pepsi-Cola,Pepsi Diet 2L,012000171765,0,0.0,1,8,2.44,19.0
Roseville,Pepsi-Cola,Gatorade Gatorlyte Watermelon 20oz,052000050622,0,0.0,1,12,1.84,22.0
Roseville,Pepsi-Cola,Gatorlyte Glacier Freeze 20oz btl,052000054996,0,0.0,1,12,1.84,22.0
Roseville,Pepsi-Cola,Gatorade Gatorlyte Orange 20oz,052000047905,0,0.0,1,12,1.83,22.0
Roseville,Pepsi-Cola,Gatorade Gatorlyte Strawberry Kiwi 20oz,052000047912,0,0.0,1,12,1.83,22.0
Roseville,Pepsi-Cola,Gatorade Lemon Lime 20oz,052000328684,0,0.0,1,24,1.67,40.0
Roseville,Pepsi-Cola,Gatorade Orange 20oz,052000328677,0,0.0,1,24,1.8,43.0
Roseville,Pepsi-Cola,Gatorade Fruit Punch 20oz,052000328660,1,0.6,1,24,1.71,41.0
Roseville,Pepsi-Cola,Gatorlyte Lemon Lime 20oz,052000052862,1,0.7,1,12,1.83,22.0
Roseville,Pepsi-Cola,Schweppes Tonic 6pk 8oz can,078000032413,3,1.8,1,4,3.93,16.0
Roseville,Pepsi-Cola,Pepsi Diet Original 20oz,012000171741,4,2.4,1,24,1.71,41.0
Roseville,Pepsi-Cola,Gatorade Gatorlyte Cherry Lime 20oz,052000049008,4,3.4,1,12,1.84,22.0
Roseville,Pepsi-Cola,Schweppes Diet Tonic 6pk 8oz,078000032635,6,3.7,1,4,3.94,16.0
Roseville,Pepsi-Cola,Aquafina Water 20oz,01215908,17,3.8,1,24,1.27,31.0
Roseville,Phillips Wine & Spirits - St. Paul,Gosling's Ginger Beer 6pk 12oz can,721094199707,0,0.0,1,4,4.29,17.0
Roseville,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary 1.75L,616003708777,0,0.0,1,6,5.62,34.0
Roseville,Phillips Wine & Spirits - St. Paul,Filthy Foods Paloma Mix 32oz,850044156085,0,0.0,1,8,6.66,53.0
Roseville,Phillips Wine & Spirits - St. Paul,Tres Agaves Strawberry Mix Liter,854125003220,0,0.0,1,12,5.6,67.0
Roseville,Phillips Wine & Spirits - St. Paul,Tres Agaves Spicy Margarita Mix Liter,196383008648,0,0.0,1,12,5.87,70.0
Roseville,Phillips Wine & Spirits - St. Paul,Filthy Black Cherries 11oz,899682002873,0,0.0,1,12,11.86,142.0
Roseville,Phillips Wine & Spirits - St. Paul,Zing Zang Margarita Mix 1.75L,616003615167,1,0.9,1,6,6.35,38.0
Roseville,Phillips Wine & Spirits - St. Paul,Zing Zang Sweet & Sour 32oz,616003112161,2,1.1,1,6,3.67,22.0
Roseville,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary Dill Pickles 32oz,616003616232,1,1.4,1,6,3.67,22.0
Roseville,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary Mix 32oz,616003814225,3,1.8,1,12,3.67,44.0
Roseville,Phillips Wine & Spirits - St. Paul,Filthy Olive Brine 8oz,899682002286,11,3.6,1,12,3.54,42.0
Roseville,Phillips Wine & Spirits - St. Paul,Tres Agaves Margarita Mix Liter,854125003039,13,4.0,1,12,5.76,69.0
Roseville,Red Bull Distribution Company,Red Bull Sugar Free 12oz can,611269716467,3,0.6,1,24,2.28,55.0
Roseville,Red Bull Distribution Company,Red Bull Sugar Free 8oz can,611269101713,5,1.1,1,24,1.76,42.0
Roseville,Southern Glazer's Wine & Spirits of MN,Angostura Aromatic Bitters 6.7oz,075496002005,0,0.0,1,12,14.16,170.0
Roseville,"True Brands, Inc.",Big Jig: Double Jigger,876718029431,0,0.0,1,12,2.98,36.0
