Product Description,Product UPC,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Supplier,Distributor,Deal Description,Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Top Ten Invoice Cost,Item Number,Deepest Invoice (Market),Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Category (for markup),Markup %,Invoice Price,Color,Match w/ Items Month?
Forbidden Fruit Iced Tea Lemonade 10mg THC 4pk 12oz can,649696361431,40,THC,Beverages,,4pk 12oz can,6,Forbidden,Nothing But Hemp LLC,,,,93,,,,74,649696361431,87,,,,,,,,,
Forbidden Fruit Lemonade 10mg THC 4pk 12oz can,649696026200,40,THC,Beverages,,4pk 12oz can,6,Forbidden,Nothing But Hemp LLC,,,,93,,,,74,FFL11923,87,,,,,,,,,
Howdy Lemonade 5mg THC 4pk 12oz can,850060645044,5,THC,Beverages,,4pk 12oz can,6,Howdy,Get Chai,,,,,,,,52.12,850060645044,,,,,,,,,,
Howdy Paloma 5mg THC 4pk 12oz can,850060645518,5,THC,Beverages,,4pk 12oz can,6,Howdy,Get Chai,,,,,,,,52.12,850060645518,,,,,,,,,,
Howdy Ranch Water 5mg THC 4pk 12oz can,850060645525,5,THC,Beverages,,4pk 12oz can,6,Howdy,Get Chai,,,,,,,,52.12,850060645525,,,,,,,,,,
Howdy Sweet Tea 5mg 4pk 12oz can,850060645020,5,THC,Beverages,,4pk 12oz can,6,Howdy,Get Chai,,,,,,,,52.12,850060645020,,,,,,,,,,
Minnesota Nice Caramels 10 Pack,649696462138,50,THC,Edibles,,,12,Minnesota Nice,Nothing But Hemp LLC,Id like to implent $120/cs on this item,,,180,,,,144,,156,,,,,,,,,
Nibbana Blue Razz 4pk 12oz can,850027710860,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,,,,66,850027710860,,,,,,,,,,
Nibbana Blue Razz Caffeine 4pk 12oz can,850027710921,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,,,,70,850027710921,,,,,,,,,,
Nibbana Grapefruit Glow 4pk 12oz can,850027710907,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,,,,70,850027710907,,,,,,,,,,
Nibbana Watermelon Wave 4pk 12oz can,850027710877,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,,,,66,850027710877,,,,,,,,,,
Nibbana Watermelon Wave Caffeine 4pk 12oz can,850027710938,5,THC,Beverages,,4pk 12oz can,6,Nibbana LLC,Nibbana LLC,,,,,,,,70,850027710938,,,,,,,,,,
Nothing But Hemp Agent Orange 10mg THC 1 pack,649696437501,10mg,THC,Edibles,,1 Pack,24,Nothing But Hemp LLC,Nothing But Hemp LLC,,,,84,,,,36,,72,,,,,,,,,
Nothing But Hemp Blue Dream 10mg THC 1 pack,649696442857,10mg,THC,Edibles,,1 Pack,24,Nothing But Hemp LLC,Nothing But Hemp LLC,,,,84,,,,36,,72,,,,,,,,,
Nothing But Hemp Zkittles 10mg THC 1 pack,649696011633,10mg,THC,Edibles,,1 Pack,24,Nothing But Hemp LLC,Nothing But Hemp LLC,,,,84,,,,36,,72,,,,,,,,,
Outer Space Strawberry Taffy 10 Pack,649696031334,50,THC,Edibles,,,12,Outer Space,Nothing But Hemp LLC,Id like to implent $120/cs on this item,,,180,,,,144,,156,,,,,,,,,
Squoze Ahhnold Tea & Lemonade 10mg THC 4pk 12oz can,859990007434,10,THC,Beverages,,4pk 12oz can,6,Social Ciderwerks,Social Ciderwerks,,,,,,,,52,,,,,,,,,,,
Squoze Raspberry Haze 5mg THC 4pk 12oz can,859990007427,5,THC,Beverages,,4pk 12oz can,6,Social Ciderwerks,Social Ciderwerks,,,,,,,,52,90,,,,,,,,,,
Squoze Tropical Kush 10mg THC 4pk 12oz can,859990007410,10,THC,Beverages,,4pk 12oz can,6,Social Ciderwerks,Social Ciderwerks,,,,,,,,52,91,,,,,,,,,,
Vibes Black Cherry Pie Hard Candy 5mg THC 10 Pack,649696090072,5mg,THC,Edibles,,,12,Vibes,Nothing But Hemp LLC,,,,180,,,,120,VIBEBCHC121823,156,,,,,,,,,
Vibes Mango Kush Hard Candy 5mg THC 10 Pack,649696087737,50,THC,Edibles,,,12,Vibes,Nothing But Hemp LLC,,,,180,,,,120,VIBEMK121823,156,,,,,,,,,
Voltage Mango-Colada 10mg THC 4pk 12oz can,850007584771,10,THC,Beverages,,4pk 12oz can,6,Voltage,Credo Brands LLC,,,,,,,,54,950007584771,,,,,,,,,,
Voltage Tropical Frenzy 10mg THC 4pk 12oz can,850007584740,10,THC,Beverages,,4pk 12oz can,6,Voltage,Credo Brands LLC,,,,,,,,54,334,,,,,,,,,,
1906 Bliss Drops 2mg THC 25pk,725792933212,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792933212,,,,,,,,,,
1906 Bliss Drops 2mg THC 5pk,643950493647,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,643950493647,,,,,,,,,,
1906 Boost Drops 2mg THC 25pk,725792792536,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792792536,,,,,,,,,,
1906 Boost Drops 2mg THC 5pk,643950493708,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,643950493708,,,,,,,,,,
1906 Chill Drops 2mg THC 25pk,725792627906,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792627906,,,,,,,,,,
1906 Chill Drops 2mg THC 5pk,725792868019,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,725792868019,,,,,,,,,,
1906 Genius Drops 2mg THC 25pk,725792989622,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792989622,,,,,,,,,,
1906 Genius Drops 2mg THC 5pk,643950493623,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,643950493623,,,,,,,,,,
1906 GO Drops 2mg THC 25pk,725792903987,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792903987,,,,,,,,,,
1906 GO Drops 2mg THC 5pk,725792915942,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,725792915942,,,,,,,,,,
1906 Love Drops 2mg THC 25pk,725792867340,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792867340,,,,,,,,,,
1906 Love Drops 2mg THC 5pk,643950493609,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,643950493609,,,,,,,,,,
1906 Off Duty 5mg THC 10pk Snap,643950493777,5,THC,Edibles,,10pk,20,1906,Get Chai,,,,,,,,240,725792786627,,,,,,,,,,
1906 PAIN AM 10mg THC Gummies 5pk,725792526704,10,THC,Edibles,,5pk,24,1906,Get Chai,,,,,,,,200,725792526704,,,,,,,,,,
1906 PAIN PM 10mg THC Gummies 5pk,725792814917,10,THC,Edibles,,5pk,24,1906,Get Chai,,,,,,,,200,725792814917,,,,,,,,,,
1906 Sleep Drops 2mg THC 25pk,725792550501,2,THC,Edibles,,25pk,24,1906,Get Chai,,,,,,,,240,725792550501,,,,,,,,,,
1906 Sleep Drops 2mg THC 5pk,643950493685,2,THC,Edibles,,5pk,50,1906,Get Chai,,,,,,,,110,643950493685,,,,,,,,,,
Happi Glow 4pk 7.5oz can,860003586266,,THC,Beverages,,4pk 8oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,53.333333333333336,20905,64,,,,,,,,,
Happi Glow Up 10mg THC 4pk 12oz can,860009993624,10,THC,Beverages,,4pk 12oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,69.79166666666667,20911,83.75,,,,,,,,,
Happi Lime Wild Mint 4pk 7.5oz can,860009993600,,THC,Beverages,,4pk 8oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,53.333333333333336,20903,64,,,,,,,,,
Happi Nightcap 4pk 7.5oz can,860003586280,,THC,Beverages,,4pk 8oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,53.333333333333336,20909,64,,,,,,,,,
Happi Rasp Honeysuckle 10mg THC 4pk 12oz can,860009993662,10,THC,Beverages,,4pk 12oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,69.79166666666667,20913,83.75,,,,,,,,,
Happi Raspberry Honeysuckle 4pk 7.5oz can,860003586228,,THC,Beverages,,4pk 8oz can,6,Happi,"Capitol Beverage Sales, L.P.",,,,,,,,53.333333333333336,20901,64,,,,,,,,,
High Rise Blood Orange 10mg THC 4pk 12oz can,850029205081,10,THC,Beverages,,4 pk 12 oz can,6,High Rise,Get Chai,,,,,,,,48,,,,,,,,,,,
High Rise Blueberry 10mg THC 4pk 12oz can,850073387016,10,THC,Beverages,,4 pk 12 oz can,6,High Rise,Get Chai,,,,,,,,48,,,,,,,,,,,
High Rise Pineapple 10mg THC 4pk 12oz can,850073387009,10,THC,Beverages,,4 pk 12 oz can,6,High Rise,Get Chai,,,,,,,,48,,,,,,,,,,,
High Spirits Cherry Limeade 10mg 4pk 12oz can,850031940963,10,THC,Beverages,,4pk 12oz can,6,High Spirits,Get Chai,,,,,,,,24,850031940963,,,,,,,,,,
High Spirits Cherry Limeade 5mg 4pk 12oz can,850057593037,5,THC,Beverages,,4pk 12oz can,6,High Spirits,Get Chai,,,,,,,,0,850057593037,,,,,,,,,,
High Spirits Grapefruit Lemon 10mg 4pk 12oz can,850031940956,10,THC,Beverages,,4pk 12oz can,6,High Spirits,Get Chai,,,,,,,,24,850031940956,,,,,,,,,,
High Spirits Grapefruit Lemon 5mg 4pk 12oz can,850057593020,5,THC,Beverages,,4pk 12oz can,6,High Spirits,Get Chai,,,,,,,,0,850057593020,,,,,,,,,,
Lolli Cherry Cola 10mg THC 6pk 12oz can,198715222210,10,THC,Beverages,,6pk 12oz can,4,Lolli,Get Chai,,,,,,,,38.5,,,,,,,,,,,
Lolli Grape Soda 10mg THC 6pk 12oz can,198715680713,10,THC,Beverages,,6pk 12oz can,4,Lolli,Get Chai,,,,,,,,38.5,,,,,,,,,,,
Lolli Orange Soda 10mg THC 6pk 12oz can,198715205510,10,THC,Beverages,,6pk 12oz can,4,Lolli,Get Chai,,,,,,,,38.5,,,,,,,,,,,
Pamos Spritz Bellini 10mg THC 4pk 12oz can,860010381632,10,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,66,860010381632,,,,,,,,,,
Pamos Spritz Bellini 5mg THC 4pk 12oz can,197644347049,5,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,46.2,197644347049,,,,,,,,,,
Pamos Spritz Long Island 10mg THC 4pk 12oz can,860010381656,10,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,66,860010381656,,,,,,,,,,
Pamos Spritz Long Island 5mg THC 4pk 12oz can,197644304943,5,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,46.2,197644304943,,,,,,,,,,
Pamos Spritz Mai Tai 10mg  THC 4pk 12oz can,860010381649,10,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,66,860010381649,,,,,,,,,,
Pamos Spritz Mai Tai 5mg THC 4pk 12oz can,197644301317,5,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,46.2,197644301317,,,,,,,,,,
Pamos Spritz Margarita 10mg THC 4pk 12oz can,198168299159,10,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,66,198168299159,,,,,,,,,,
Pamos Spritz Margarita 5mg THC 4pk 12oz can,198168873779,5,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,46.2,198168873779,,,,,,,,,,
Pamos Spritz Ranch Water 10mg THC 4pk 12oz can,198715321258,10,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,66,198715321258,,,,,,,,,,
Pamos Spritz Ranch Water 5mg THC 4pk 12oz can,198715357837,5,THC,Beverages,,4pk 12oz can,6,Pamos Hemp LLC,Get Chai,,,,,,,,46.2,198715357837,,,,,,,,,,
Pharos Black Cherry 5mg THC 4pk 12oz can,726665891370,5,THC,Beverages,,4pk 12oz can,6,"Pharos Brands International, LLC",Get Chai,,,,,,,,60,726665891370,,,,,,,,,,
Pharos Blood Orange Lime 5mg THC 4pk 12oz can,726665891400,5,THC,Beverages,,4pk 12oz can,6,"Pharos Brands International, LLC",Get Chai,,,,,,,,60,726665891400,,,,,,,,,,
Pharos Mango 5mg THC 4pk 12oz can,726665891394,5,THC,Beverages,,4pk 12oz can,6,"Pharos Brands International, LLC",Get Chai,,,,,,,,60,726665891394,,,,,,,,,,
Pharos Raspberry Lemonade 5mg THC 4pk 12oz can,726665891387,5,THC,Beverages,,4pk 12oz can,6,"Pharos Brands International, LLC",Get Chai,,,,,,,,60,726665891387,,,,,,,,,,
Sprinkle CHILL 5mg THC Mix 10 Pack,608275528061,5,THC,Edibles,,10 Pack,24,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,164.4,608275528061,,,,,,,,,,
Sprinkle CHILL 5mg THC Mix Single,608275528092,5,THC,Edibles,,Single,288,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,250.56,608275528092,,,,,,,,,,
Sprinkle GO 5mg THC Mix 10 Pack,608275528054,5,THC,Edibles,,10 Pack,24,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,164.4,608275528054,,,,,,,,,,
Sprinkle GO 5mg THC Mix Single,608275528085,5,THC,Edibles,,Single,288,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,250.56,608275528085,,,,,,,,,,
Sprinkle SLEEP 5mg THC Mix 10 Pack,608275528078,5,THC,Edibles,,10 Pack,24,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,164.4,608275528078,,,,,,,,,,
Sprinkle SLEEP 5mg THC Mix Single,721352813802,5,THC,Edibles,,Single,288,"Sprinkle Hemp, LLC",Get Chai,,,,,,,,250.56,721352813802,,,,,,,,,,
Superior Seltzer Black Cherry Lemon 10mg THC 4pk 12oz can,850047998286,10,THC,Beverages,,4pk 12oz can,6,Superior Molecular,Superior Molecular,,,,,,,,48,,,,,,,,,,,
Superior Seltzer Lemon Lime 10 mg THC 4pk 12oz can,850047998064,10,THC,Beverages,,4pk 12oz can,6,Superior Molecular,Superior Molecular,,,,,,,,48,,,,,,,,,,,
Superior Seltzer Orange Citrus 10mg THC 4pk 12oz can,850047998354,10,THC,Beverages,,4pk 12oz can,6,Superior Molecular,Superior Molecular,,,,,,,,48,,,,,,,,,,,
Superior Seltzer Transfusion 10mg THC 4pk 12oz can,850047998507,10,THC,Beverages,,4pk 12oz can,6,Superior Molecular,Superior Molecular,,,,,,,,48,,,,,,,,,,,
Blackstack Real Trees THC Blackberry Lemonade 4pk 16oz can,850000320529,10,THC,Beverages,,4pk 16oz can,6,"Black Stack Brewing, Inc","Black Stack Brewing, Inc",,,,76,,,,76,3881967318,,,,,,,,,,
Blackstack Real Trees THC Blood Orange 4pk 16oz can,850000320246,10,THC,Beverages,,4pk 16oz can,6,"Black Stack Brewing, Inc","Black Stack Brewing, Inc",,,,76,,,,76,2390523793,,,,,,,,,,
Blackstack Real Trees THC Straw Kiwi 4pk 16oz can,850000320413,10,THC,Beverages,,4pk 16oz can,6,"Black Stack Brewing, Inc","Black Stack Brewing, Inc",,,,76,,,,76,1774422715,,,,,,,,,,
BLNCD Mocktail Variety Pack 10mg THC 6pk 12oz can,810012698740,10mg,THC,Beverages,,6pk 12oz can,4,BLNCD,Bellboy Corporation,,20,80,96,0.16666666666666663,36.99,30.96,80,9918152,96,0.35400516795865633,33.49,27.96,0,Bellboy Corporation810012698740,Bellboy Corporation,Bellboy Corporation,0.5,
Brez Double 5mg THC 12oz can,197644309047,5,THC,Beverages,,12oz can,24,Brez,Bellboy Corporation,,0,0,,,-0.01,-0.04,,,,1,6.49,5.96,0,Bellboy Corporation197644309047,Bellboy Corporation,Bellboy Corporation,0.5,
Brez Single 2.5mg THC 4pk 7.5oz can,860012187980,2.5,THC,Beverages,,4pk 8oz can,6,Brez,Bellboy Corporation,,9.166666666666666,55,63,0.12698412698412698,16.99,13.96,55,9919001,,0.34336198662846235,17.99,14.96,0,Bellboy Corporation860012187980,Bellboy Corporation,Bellboy Corporation,0.5,
Brez Single 2.5mg THC 7.5oz can,197644087846,2.5,THC,Beverages,,8oz can,24,Brez,Bellboy Corporation,,0,0,,,-0.01,-0.04,,,,1,5.49,4.96,0,Bellboy Corporation197644087846,Bellboy Corporation,Bellboy Corporation,0.5,
Minny Grown Highbernate Sleepy Time Tonic 10mg THC,850063284646,10,THC,Beverages,,4pk 12oz can,6,Minny Grown,Bellboy Corporation,$200 order qty per store,11,66,82,0.114569358733566,19.99,16.96,66,9911122,74.54,0.35141509433962265,19.99,17.96,0,Bellboy Corporation850063284646,Bellboy Corporation,Bellboy Corporation,0.5,
Minny Grown Skol! 10 Pack,860009438002,,THC,Edibles,,,12,Minny Grown,Bellboy Corporation,$200 order qty per store,8,96,140,0.19999999999999996,13.99,11.96,96,9912035,120,0.33110367892976594,17.49,14.96,0,Bellboy Corporation860009438002,Bellboy Corporation,Bellboy Corporation,0.5,
