Product Description,Product UPC,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Supplier,Distributor,Deal Description,Net/Unit,Net Case,Case 1 (Retail),Retail,Club,GM%,Top Ten Invoice Cost,Item Number,Deepest Invoice (Market),Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Category (for markup),Markup %,Invoice Price,Color,Match w/ Items Month?
Happy Duck Bomba 2.5mg THC 20 Pack,850056651035,2.5,THC,Edibles,,,10,Happy Duck LLC,Happy Duck LLC,15c,5.1,51,65,0,9.99,7.96,51,850056651035,51,0.35929648241206036,11.49,9.96,,Edibles,0.5,51,,
Happy Duck Tangerine 2.5mg THC 20 Pack,850056651028,2.5,THC,Edibles,,,10,Happy Duck LLC,Happy Duck LLC,15c,5.1,51,65,0,9.99,7.96,51,850056651028,51,0.35929648241206036,11.49,9.96,,Edibles,0.5,51,,
Headflyer Blackberry Lime THC 4pk 16oz can,850009065483,,THC,Beverages,,4pk 16oz can,6,HeadFlyer Brewing,HeadFlyer Brewing,,0,0,,-0.01,,1,,12046,,,,,,,0.5,0,,
Hectare's 5mg Delta 9 2.5oz btl,850012918721,5,THC,Beverages,Shot,2oz,36,Hectare's,Hectare's,,0,0,,-0.01,,1,,,,6.99,0,0,,Beverages,0.5,0,,
Hectare's Dragon Fruit Seltzer 5mg THC 4pk 12oz can,850012918790,5,THC,Beverages,,4pk 12oz can,6,Hectare's,Hectare's,,9.12,54.72,,-0.01,,912.9999999999999,54.72,D9_Seltzer_DF_5mg,,18.99,9.86,0,,Beverages,0.5,54.72,,
Hectare's Soda 5mg THC 4pk 12oz can,850012918752,5,THC,Beverages,,4pk 12oz can,6,Hectare's,Hectare's,,9.12,54.72,,-0.01,,912.9999999999999,54.72,,,18.99,9.86,0,12.86,Nothing But Hemp LLC658580777906,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hectare's Watermelon Cucumber Mint 5mg THC 4pk 12oz can,850012918882,5,THC,Beverages,,4pk 12oz can,6,Hectare's,Hectare's,,9.12,54.72,,-0.01,,912.9999999999999,54.72,850012918882,,18.99,9.86,0,0,Nothing But Hemp LLC661537424068,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hectares 3mg Delta 9 2.5oz btl,850012918738,3,THC,Beverages,Shot,2oz,36,Hectare's,Hectare's,,0,0,,-0.01,,1,,,,6.99,0,0,12.86,Nothing But Hemp LLC658580777913,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hi Seltzer Cherry 4pk 12oz can,860006217181,,THC,Beverages,,4pk 12oz can,6,Hi,Bellboy Corporation,,0,0,,-0.01,,1,,9200002,,,,,0,Nothing But Hemp LLC804467597048,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hi Seltzer Lemon Lime 4pk 12oz can,860006217174,,THC,Beverages,,4pk 12oz can,6,Hi,Bellboy Corporation,,0,0,,-0.01,,1,,9200012,,,,,12.86,Nothing But Hemp LLC658580777937,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hi Seltzer Pineapple 4pk 12oz can,860009756595,,THC,Beverages,,4pk 12oz can,6,Hi,Bellboy Corporation,,0,0,,-0.01,,1,,9200032,,,,,12.86,Nothing But Hemp LLC658580777920,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hi Seltzer Watermelon 4pk 12oz can,860009943520,,THC,Beverages,,4pk 12oz can,6,Hi,Bellboy Corporation,,0,0,,-0.01,,1,,9200042,,18.99,4.86,0,0,Nothing But Hemp LLC648275776373,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hi Seltzer Wildberry 4pk 12oz can,860009756526,,THC,Beverages,,4pk 12oz can,6,Hi,Bellboy Corporation,,0,0,,-0.01,,1,,9200022,,,,,0,"Capitol Beverage Sales, L.P.804467782413","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",0.5,
Highdro Key Lime Pie 5mg THC 10 Pack,860011706144,50,THC,Edibles,,,24,Highdro,Nothing But Hemp LLC,,9,216,360,0.25,15.99,0,216,860011706144,288,0,24.99,0,0,"Capitol Beverage Sales, L.P.804467833900","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",0.5,
Highdro Passion Fruit 5mg THC 10 Pack,860011706137,50,THC,Edibles,,,24,Highdro,Nothing But Hemp LLC,,9,216,360,0.25,15.99,0,216,860011706137,288,0,24.99,0,0,"Capitol Beverage Sales, L.P.804467762552","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",0.5,
Highdro Watermelon 5mg THC 10 Pack,860011706113,50,THC,Edibles,,,24,Highdro,Nothing But Hemp LLC,,9,216,360,0.25,15.99,0,216,860011706113,288,0,24.99,0,0,Gigli MN LLC643459379862,Gigli MN LLC,Gigli MN LLC,0.5,
Hop Dreams Day Dream 10mg THC 4pk 12oz can,860012192717,,THC,Beverages,,4pk 12oz can,6,Hop Dreams,Bellboy Corporation,Case 1,10.333333333333334,62,88,0.2954545454545454,18.99,9.86,62,860012192717,88,-0.04800540906017591,11.49,9.86,9.86,Nothing But Hemp LLC860011706144,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hop Dreams Original 10mg THC 4pk 12oz can,860012192700,,THC,Beverages,,4pk 12oz can,6,Hop Dreams,Bellboy Corporation,Case 1,10.333333333333334,62,88,0.2954545454545454,18.99,9.86,62,860012192700,88,-0.04800540906017591,11.49,9.86,9.86,Nothing But Hemp LLC860011706137,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Hop Dreams Sweet Dreams 10mg THC 4pk 12oz can,860012192724,,THC,Beverages,,4pk 12oz can,6,Hop Dreams,Bellboy Corporation,Case 1,10.333333333333334,62,88,0.2954545454545454,18.99,9.86,62,860012192724,88,-0.04800540906017591,11.49,9.86,9.86,Nothing But Hemp LLC860011706113,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
Inbound DreaMN Jamaican Jam 10mg THC 4pk 12oz can,854249004127,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,DrMN+JamaicaJam_CSE,,22.99,18.96,0,0,Bellboy Corporation860012192717,Bellboy Corporation,Bellboy Corporation,0.5,
Inbound DreaMN Komodo 10mg 4pk 12oz can,854249004202,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,DrMN+Komodo_CSE,,22.99,18.96,0,0,Bellboy Corporation860012192700,Bellboy Corporation,Bellboy Corporation,0.5,
Inbound DreaMN Love Potion 10mg THC 4pk 12oz can,854249004486,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,DrMN+LvPtn_CSE,,,,,0,Bellboy Corporation860012192724,Bellboy Corporation,Bellboy Corporation,0.5,
Inbound DreaMN Mango 4pk 12oz can,854249004134,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,DrMN+MngRndhrt_CSE,,,,,0,Insight Brewing Company (D)850033550504,Insight Brewing Company (D),Insight Brewing Company (D),0.5,
Inbound DreaMN Marley Palmer 4pk 12oz can,854249004141,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,DrMN+MrlyPlmr_CSE,,,,,0,Minny Grown860011669418,Minny Grown,Minny Grown,0.5,
Inbound Satellite Blue Lemon 10mg THC 4pk 12oz can,854249004233,,THC,Beverages,,4pk 12oz can,6,Lucid Brewing LLC Dba Inbound Brewco,Lucid Brewing LLC Dba Inbound Brewco,,0,0,,-0.01,,1,,854249004233,,22.99,18.96,0,0,Nothing But Hemp LLC196852381494,Nothing But Hemp LLC,Nothing But Hemp LLC,0.5,
