Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Michelob Golden Light 12pk 12oz can,Premium,,256,118.8,2.2,11.26,15.99,12.96,30,,496,1587,Minnetonka:1;Chanhassen:15;Osseo:15;Vadnais Heights:15;Plymouth:16;Blaine:17;St. Louis Park:18;Roseville:20;Ramsey:24;Bloomington:26;Minneapolis:36;Woodbury:9;Rosemount:10;Cottage Grove:15;Stillwater:29
Modelo Especial 24pk 12oz can,Import,"Breakthru Beverage Minnesota Beer, LLC",272,114.3,2.4,22.65,28.99,21.96,22,,511,1373,Minnetonka:1;Roseville:3;Osseo:4;Blaine:10;Chanhassen:14;Minneapolis:17;Woodbury:18;Plymouth:18;Rosemount:29;Ramsey:36;Cottage Grove:37;Andover:41;Bloomington:54
Kona Big Wave Golden Ale 12pk 12oz can,Craft,,539,110.0,4.9,12.72,19.99,16.96,36,,491,1327,Minnetonka:4;Minneapolis:8;Plymouth:18;Roseville:20;Osseo:22;Ramsey:22;Vadnais Heights:28;St. Louis Park:34;Chanhassen:37;Blaine:45;Andover:71;Rosemount:15;Cottage Grove:23;Stillwater:24;Woodbury:172
Hamm's 30pk 12oz can,Below Premium,,331,109.7,3.0,15.99,20.99,17.96,24,,484,1349,Plymouth:2;Ramsey:2;Minnetonka:3;Roseville:7;Woodbury:8;Osseo:12;Vadnais Heights:14;Stillwater:19;Andover:19;Cottage Grove:20;Rosemount:24;Bloomington:32;Blaine:34;Chanhassen:35;St. Louis Park:36;Minneapolis:64
Coors Light 15pk 16oz can,Premium,Dahlheimer Beverage Monticello,198,108.3,1.8,18.07,23.99,20.96,25,,483,1309,Chanhassen:1;Stillwater:2;Minnetonka:5;St. Louis Park:6;Rosemount:6;Roseville:8;Bloomington:9;Plymouth:10;Cottage Grove:10;Woodbury:10;Osseo:17;Blaine:19;Ramsey:25;Minneapolis:37;Andover:48
White Claw Variety Pack 24pk 12oz can,Seltzer,,509,107.6,4.7,25.75,34.99,29.96,26,,491,1249,Rosemount:2;Bloomington:7;Roseville:8;Plymouth:10;Woodbury:13;Osseo:18;Cottage Grove:38;Andover:94;Blaine:94;Ramsey:109;Minneapolis:116
Surfside Strawberry Lemonade 24oz can,RTD,"Capitol Beverage Sales, L.P.",298,107.4,2.8,1.94,3.49,2.96,44,,607,722,Plymouth:1;Minneapolis:2;Minnetonka:5;Ramsey:19;Blaine:31;Roseville:44;Woodbury:46;Chanhassen:57;Cottage Grove:97
Busch Light 24pk 16oz can,Below Premium,,252,100.2,2.5,20.13,26.99,22.96,25,,441,1236,Minnetonka:3;Stillwater:4;Rosemount:6;Chanhassen:7;Vadnais Heights:9;Bloomington:11;Roseville:11;Minneapolis:15;Andover:18;Ramsey:25;Blaine:30;Cottage Grove:38;Woodbury:80
Surfside Variety #1 8pk 12oz can,RTD,"College City Beverage, Inc.",269,100.0,2.7,15.0,23.99,17.96,37,,488,1019,Bloomington:2;Minnetonka:3;Cottage Grove:4;St. Louis Park:8;Stillwater:10;Osseo:12;Rosemount:12;Vadnais Heights:19;Plymouth:19;Roseville:21;Chanhassen:22;Woodbury:22;Blaine:35;Ramsey:43;Andover:43
Surly Furious 12pk 12oz can,Craft,,258,98.1,2.6,15.37,23.99,16.96,36,,406,1325,Bloomington:1;Cottage Grove:6;Minnetonka:8;Stillwater:8;Woodbury:10;Vadnais Heights:14;Roseville:16;Chanhassen:20;Rosemount:24;St. Louis Park:48;Osseo:1;Plymouth:3;Ramsey:8;Blaine:12;Minneapolis:25;Andover:54
Mystery Beer 24pk,Economy,"Breakthru Beverage Minnesota Beer, LLC",-792,97.6,-8.1,9.0,14.99,12.96,40,,410,1293,Vadnais Heights:12
