Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Kinky Blue 50ml,Cordials,Johnson Brothers - St. Paul,974,167.0,5.8,0.51,1.49,1.24,66,1 free on 3. Kinky Pink 50ml as Free Good,718,2136,Rosemount:13;Roseville:20;Blaine:33;Cottage Grove:50;Andover:53;Vadnais Heights:77;Minnetonka:90;Stillwater:97;Woodbury:101;Ramsey:116;Minneapolis:152;Bloomington:172
Tito's Vodka 50ml,Vodka,Johnson Brothers - St. Paul,775,161.8,4.8,1.64,2.29,1.96,28,,707,2018,Blaine:5;Stillwater:10;Vadnais Heights:21;Cottage Grove:24;Chanhassen:28;Ramsey:34;St. Louis Park:35;Andover:36;Woodbury:48;Rosemount:55;Bloomington:60;Plymouth:60;Roseville:62;Minnetonka:63;Minneapolis:233
99 Butterscotch 50ml,Schnapps,Southern Glazer's Wine & Spirits of MN,1033,158.3,6.5,0.61,1.49,1.24,59,,674,2056,Cottage Grove:13;Blaine:16;Plymouth:27;Vadnais Heights:36;Bloomington:53;Osseo:54;Andover:57;Stillwater:59;Minneapolis:66;Minnetonka:72;St. Louis Park:87;Rosemount:92;Chanhassen:128;Roseville:130;Ramsey:143
New Amsterdam Tangerine 50ml,Vodka,Johnson Brothers - St. Paul,1076,150.0,7.2,0.68,1.49,1.24,54,12 Sleeves of 10,623,2018,Stillwater:13;Osseo:54;Andover:62;Blaine:100;Woodbury:111;Roseville:136;Minneapolis:181;Bloomington:195;St. Louis Park:224
Smirnoff Vodka 1.75L,Vodka,Johnson Brothers - St. Paul,337,149.0,2.3,15.14,20.99,17.96,28,25cs across  chain - MONTHLY ACCUM,634,1935,Minnetonka:3;St. Louis Park:3;Vadnais Heights:5;Roseville:10;Chanhassen:10;Woodbury:11;Stillwater:11;Ramsey:16;Rosemount:17;Andover:19;Plymouth:25;Osseo:25;Bloomington:32;Blaine:43;Minneapolis:49;Cottage Grove:58
Buffalo Trace 750ml,Whisky/Whiskey,"Breakthru Beverage Minnesota Wine & Spirits, LLC",253,145.8,1.7,26.75,40.99,34.96,35,7 CS,812,1031,Plymouth:0;Andover:0;Ramsey:3;Blaine:3;Woodbury:4;Rosemount:5;Roseville:6;Cottage Grove:12;Minnetonka:25;Osseo:32;Bloomington:33;Stillwater:35;Minneapolis:45;St. Louis Park:47
2 Gingers 50ml,Whisky/Whiskey,Phillips Wine & Spirits - St. Paul,263,139.7,1.9,0.68,1.49,1.24,54,Case 1,555,1994,Bloomington:3;Osseo:6;Ramsey:17;Rosemount:75;Andover:163
Margaritaville Gold Tequila 50ml,Agave,"Breakthru Beverage Minnesota Wine & Spirits, LLC",1083,134.9,8.0,0.35,1.19,0.96,71,"150cs 50ml purchase in a month (Buffalo Trace Cream, Canadian Mist, Dr Mcgil, Fireball, Goldschlager, Hartley Brandy, Margaritaville, Parrot Bay, Platinum 7x, R&R, Scoresby, Sheep Dog, SoCo, Taaka, Traveller, Wheately, Yukon Jack)",751,957,Plymouth:27;Woodbury:43;Ramsey:54;Andover:79;Vadnais Heights:89;Osseo:101;Blaine:101;St. Louis Park:103;Cottage Grove:108;Stillwater:111;Minneapolis:126;Bloomington:141
Kinky Pink 50ml,Cordials,Johnson Brothers - St. Paul,893,133.7,6.7,0.51,1.49,1.24,66,1 free on 3. Kinky Pink 50ml as Free Good,590,1642,Woodbury:1;Chanhassen:4;Ramsey:11;St. Louis Park:13;Rosemount:21;Plymouth:32;Roseville:44;Cottage Grove:47;Blaine:68;Stillwater:86;Vadnais Heights:87;Osseo:90;Andover:105;Minnetonka:111;Bloomington:173
Goldschlager 50ml,Cordials,"Breakthru Beverage Minnesota Wine & Spirits, LLC",664,131.0,5.1,0.6,1.49,1.24,60,"150cs 50ml purchase in a month (Buffalo Trace Cream, Canadian Mist, Dr Mcgil, Fireball, Goldschlager, Hartley Brandy, Margaritaville, Parrot Bay, Platinum 7x, R&R, Scoresby, Sheep Dog, SoCo, Taaka, Traveller, Wheately, Yukon Jack)",551,1730,Stillwater:9;Osseo:20;Andover:31;Woodbury:33;Rosemount:37;Vadnais Heights:51;St. Louis Park:63;Chanhassen:99;Bloomington:103;Minneapolis:105;Blaine:113
Don Julio Reposado Tequila 750ml,Agave,Bellboy Corporation,511,125.8,4.1,31.0,40.99,35.96,24,2cs across chain- same week,556,1543,Minnetonka:3;Andover:8;Woodbury:8;Osseo:10;Cottage Grove:10;Stillwater:13;Rosemount:23;Plymouth:26;Vadnais Heights:29;St. Louis Park:29;Blaine:35;Bloomington:38;Roseville:52;Minneapolis:228
Fireball Whisky 750ml,Whisky/Whiskey,"Breakthru Beverage Minnesota Wine & Spirits, LLC",240,119.5,2.0,10.73,13.99,11.96,23,25cs purchase equity sizes in a month,516,1520,Minnetonka:1;Plymouth:2;Chanhassen:3;Stillwater:6;Andover:6;St. Louis Park:8;Roseville:8;Vadnais Heights:11;Osseo:11;Rosemount:14;Woodbury:17;Cottage Grove:19;Ramsey:22;Minneapolis:23;Blaine:24;Bloomington:65
