Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Pinot Grigio 3L Box,082242013253,14,3.2,2,6,19.6,118.0
Andover,Phillips Wine & Spirits - St. Paul,Sutter Home Merlot 187ml,08500229,3,3.2,1,6,4.51,27.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Nighthawk Blk Bourbon Cabernet 3L Box,082242016063,14,3.3,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box NightHawk Red Blend 3L Box,082242013741,4,3.4,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Pinot Grigio 500ml,082242013314,15,3.6,1,12,0.61,7.0
Andover,Phillips Wine & Spirits - St. Paul,Yellow Tail Merlot 1.5L,031259009230,6,3.7,1,6,7.75,47.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Nighthawk Black Lush Pinot Noir 3L Box,082242016094,8,3.8,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Chardonnay 3L Box,082242011051,12,4.0,1,3,14.67,44.0
Andover,Phillips Wine & Spirits - St. Paul,Bota Box Redvolution 3L Box,082242016056,13,4.0,1,3,16.66,50.0
Andover,Phillips Wine & Spirits - St. Paul,K J Grand Res Chardonnay 750ml,081584013082,13,4.0,1,12,12.0,144.0
Andover,Rue 38 LLC,Lavendette Alpes de Haute Rose 750ml,015643422669,0,0.0,1,12,9.33,112.0
Andover,Rue 38 LLC,Three Otters Pinot Noir 750ml,040232243646,2,2.1,1,12,13.33,160.0
Andover,Rue 38 LLC,Il Valore Pinot Grigio 750ml,015643744785,29,2.5,2,24,7.08,170.0
Andover,Rue 38 LLC,Sur de los Andes Malbec 750ml,015643521287,4,3.4,1,12,9.98,120.0
Andover,Saint Croix Vineyards,St Croix Vineyards Marquette,669835224144,2,2.1,1,12,14.02,168.0
Andover,Southern Glazer's Wine & Spirits of MN,Woodbridge Cab Sauv 1.5L,086003813854,0,0.0,2,12,11.47,138.0
Andover,Southern Glazer's Wine & Spirits of MN,Liquid Light Sauvignon Blanc 750ml,088586010149,0,0.0,1,12,8.65,104.0
Andover,Southern Glazer's Wine & Spirits of MN,Cusumano Nero D'Avola,0810375000235,1,1.1,1,12,11.45,137.0
Andover,Southern Glazer's Wine & Spirits of MN,Woodbridge Sauv Blanc 1.5L,086003863866,4,1.7,1,6,7.08,42.0
Andover,Southern Glazer's Wine & Spirits of MN,Stag's Leap WC Artemis Cab Sauv 750ml,088593700200,1,2.1,1,6,58.85,353.0
Andover,Southern Glazer's Wine & Spirits of MN,Jam Cellars Butter Chardonnay 750ml,853706002034,12,2.3,1,12,10.01,120.0
Andover,Southern Glazer's Wine & Spirits of MN,Kim Crawford Sauvignon Blanc 750ml,689352009611,95,2.5,5,60,10.7,642.0
Andover,Southern Glazer's Wine & Spirits of MN,Mumm Napa Brut Rose 750ml,852832000174,2,2.9,1,12,13.34,160.0
Andover,Southern Glazer's Wine & Spirits of MN,Chateau Ste Michelle Light Sauvignon Blanc 750ml,088586013355,5,3.1,1,12,7.33,88.0
Andover,Southern Glazer's Wine & Spirits of MN,Martini & Rossi Prosecco 750ml,011034501005,3,3.2,1,12,7.65,92.0
Andover,Southern Glazer's Wine & Spirits of MN,Charles Smith Velvet Devil Merlot 750ml,083120015055,3,3.2,1,12,7.29,87.0
