Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Purity Vodka Connoisseur 51,856581003202,Liquor,1.75L,6,Blue Ridge,Vinocopia,Net Down Pricing,ALL,28.833333333333332,173,203,43.99,38.96,0.2599247091033539,171.5,2026-07-01 00:00:00,, ,,50016,173,28.833333333333332,45.99,,,0.3,,,,,,,,,"Vinocopia, Inc",Vinocopia 7.1
Aviation Gin,853507000024,Liquor,750 ml,6,Diageo,Bellboy Corporation,5cs across chain-same week,All,22.166666666666668,133,144,30.99,29.96,0.2601246105919003,132,2026-07-01 00:00:00,,144,,7271104,133,22.166666666666668,34.99,,,0.3,,,,,,,,,Bellboy Corporation,Bellboy 7.1
Buchanans 12 Yr Scotch,088110955328,Liquor,750 ml,12,Diageo,Bellboy Corporation,case 1,Jan|March|MayJune||July|Sept|Nov,26.541666666666668,318.5,341.5,36.99,35.96,0.2619113830181683,317.5,2026-07-01 00:00:00,,341.5,,8068014,318.5,26.541666666666668,41.99,40.99,34.96,0.3,,,,,,,,100,Bellboy Corporation,Bellboy 7.1
Bulleit Bourbon ,087000005549,Liquor,1.0L,12,Diageo,Bellboy Corporation,2  cases  across chain- same week,Jan|March|May|July|Sept|Nov,24.916666666666668,299,338,36.99,33.96,0.26629367883784844,298,2026-07-01 00:00:00,,338,,8373005,299,24.916666666666668,39.99,37.99,32.96,0.3,,,,,,,,89,Bellboy Corporation,Bellboy 7.1
Bulleit Bourbon ,087000004047,Liquor,1.75 L,6,Diageo,Bellboy Corporation,7  cases m/m w/rye - across month of October,Jan|March|May|July|Sept|Nov,39.333333333333336,236,263.25,56.99,52.96,0.25730110775427995,235,2026-07-01 00:00:00,,263.25,,8373009,236,39.333333333333336,61.99,52.99,44.96,0.3,,,,,,,,93,Bellboy Corporation,Bellboy 7.1
Bulleit Rye,082000766070,Liquor,1.75 L,6,Diageo,Bellboy Corporation,7 cases m/m w/rye - across month of October,Jan|March|May|July|Sept|Nov,39.333333333333336,236,263.25,56.99,52.96,0.25730110775427995,235,2026-07-01 00:00:00,,263.25,,8373219,236,39.333333333333336,61.99,52.99,44.96,0.3,,,,,,,,91,Bellboy Corporation,Bellboy 7.1
Captain Morgan Original ,08731409,Liquor,50ml,120,Diageo,Bellboy Corporation,case 1,ALL,0.6666666666666666,80,132,1.99,0.96,0.3055555555555556,79,2026-07-01 00:00:00,,132,,7868318,80,0.6666666666666666,0.99,1.49,1.24,0.5,,,,,,,,969,Bellboy Corporation,Bellboy 7.1
Captain Morgan Original ,087000002708,Liquor,1.0L,12,Diageo,Bellboy Corporation,4 cases  - across chain-same week,Jan|March|May|July|Sept|Nov,14.9125,178.95,215.95,22.99,19.96,0.2528807615230461,177.95,2026-07-01 00:00:00,,215.95,,7868315,178.95,14.9125,23.99,,,0.3,,,,,,,,,Bellboy Corporation,Bellboy 7.1
Captain Morgan White,082000766834,Liquor,Liter,12,Diageo,Bellboy Corporation,4cs across chain - same week,All,12.9125,154.95,161.95,17.99,16.96,0.23864976415094347,153.95,2026-07-01 00:00:00,,161.95,,7868215,154.95,12.9125,19.99,20.99,17.96,0.3,,,,,,,,27,Bellboy Corporation,Bellboy 7.1
Captain Morgan White,082000766858,Liquor,1.75L,6,Diageo,Bellboy Corporation,3cases across chain in one week,All,16.583333333333332,99.5,102.5,21.99,21.96,0.24483910139647852,98.5,2026-07-01 00:00:00,,102.5,,7868219,99.5,16.583333333333332,25.99,26.99,22.96,0.3,,,,,,,,7,Bellboy Corporation,Bellboy 7.1
Ciroc Apple,088076180451,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - Same Week,January|March|May|July|September|November,20.916666666666668,251,294.5,31.99,27.96,0.25190748688602765,250,2026-07-01 00:00:00,,294.5,,8584364,251,20.916666666666668,32.99,34.99,27.96,0.3,,,,,,,,53,Bellboy Corporation,Bellboy 7.1
Ciroc Peach Vodka,088076177406,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - Same Week,January|March|May|July|September|November,20.916666666666668,251,294.5,31.99,27.96,0.25190748688602765,250,2026-07-01 00:00:00,,294.5,,8584354,251,20.916666666666668,32.99,34.99,29.96,0.3,,,,,,,,53,Bellboy Corporation,Bellboy 7.1
Ciroc Pineapple,088076179080,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - Same Week,January|March|May|July|September|November,20.916666666666668,251,294.5,31.99,27.96,0.25190748688602765,250,2026-07-01 00:00:00,,294.5,,8584404,251,20.916666666666668,32.99,34.99,27.96,0.3,,,,,,,,23,Bellboy Corporation,Bellboy 7.1
Ciroc Red Berry Vodka,088076175051,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - Same Week,January|March|May|July|September|November,20.916666666666668,251,294.5,31.99,27.96,0.25190748688602765,250,2026-07-01 00:00:00,,294.5,,8584334,251,20.916666666666668,32.99,34.99,27.96,0.3,,,,,,,,0,Bellboy Corporation,Bellboy 7.1
Ciroc Vodka,088076161863,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - Same Week,January|March|May|July|September|November,20.916666666666668,251,294.5,31.99,27.96,0.25190748688602765,250,2026-07-01 00:00:00,,294.5,,8584224,251,20.916666666666668,32.99,33.49,27.96,0.3,,,,,,,,149,Bellboy Corporation,Bellboy 7.1
Crown Royal Canadian,087000700604,Liquor,1.75L,6,Diageo,Bellboy Corporation,Case 1,"January, March, May, July, September, November",38.916666666666664,233.5,256.95,55.99,52.96,0.26516868076535755,232.5,2026-07-01 00:00:00,,232.5,,6863119,233.5,38.916666666666664,61.99,50.99,42.96,0.3,,,,,,,,199,Bellboy Corporation,Bellboy 7.1
Crown Royal Canadian,087000007246,Liquor,Liter,12,Diageo,Bellboy Corporation,"3cs m/m crown Apple  liter across chain, same week","January, March, May, July, September, November",26.666666666666668,320,371.75,39.99,35.96,0.25843529847979235,319,2026-07-01 00:00:00,,371.75,,6863115,320,26.666666666666668,41.99,42.99,36.96,0.3,,,,,,,,134,Bellboy Corporation,Bellboy 7.1
Crown Royal Regal Apple,082000771593,Liquor,1.75L,6,Diageo,Bellboy Corporation,"6 cs m/m crown Apple175 across chain, MONTHLY ACCUM","January, March, May, July, September, November",38.916666666666664,233.5,256.95,55.99,52.96,0.26516868076535755,232.5,2026-07-01 00:00:00,,256.95,,6163209,233.5,38.916666666666664,61.99,50.99,42.96,0.3,,,,,,,,206,Bellboy Corporation,Bellboy 7.1
Crown Royal Regal Apple,082000771586,Liquor,Liter,12,Diageo,Bellboy Corporation,"3cs m/m crown liter , across chain same week","January, March, May, July, September, November",26.666666666666668,320,371.75,39.99,35.96,0.25843529847979235,319,2026-07-01 00:00:00,,371.75,,6163205,320,26.666666666666668,41.99,39.99,37.96,0.3,,,,,,,,285,Bellboy Corporation,Bellboy 7.1
Don Julio 1942 Anejo Tequila,400000025209,Liquor,750 ml,6,Diageo,Bellboy Corporation,Case 1,June,123.83333333333333,743,854,184.99,166.96,0.258305382526753,742,2026-07-01 00:00:00,,854,,8491954,743,123.83333333333333,196.99,154.99,129.96,0.3,,,,,,,,48,Bellboy Corporation,Bellboy 7.1
Don Julio Blanco Tequila,674545001005,Liquor,50ml,60,Diageo,Bellboy Corporation,case 1,ALL,3.066666666666667,184,183,4.99,3.96,0.22558922558922553,183,2026-07-01 00:00:00,,183,,8491928,184,3.066666666666667,4.99,,,0.5,,,,,,,,,Bellboy Corporation,Bellboy 7.1
Don Julio Repo Tequila,674545000421,Liquor,50ml,60,Diageo,Bellboy Corporation,case 1,ALL,3.6,216,215,4.99,4.96,0.27419354838709675,215,2026-07-01 00:00:00,,215,,8491948,216,3.6,5.99,,,0.5,,,,,,,,,Bellboy Corporation,Bellboy 7.1
Johnnie Walker Black,088110011406,Liquor,Liter,12,Diageo,Bellboy Corporation,3 cs  across chain- accum monthly,"January, March, May, July, September, November",33.833333333333336,406,441,47.99,45.96,0.2638526254714244,405,2026-07-01 00:00:00,,441,,8063515,406,33.833333333333336,53.99,52.99,44.96,0.3,,,,,,,,101,Bellboy Corporation,Bellboy 7.1
Johnnie Walker Red,088110021405,Liquor,Liter,12,Diageo,Bellboy Corporation,3 cs  across chain- accum monthly,"January, March, May, July, September, November",19.575,234.9,269.9,28.99,25.96,0.24595531587057015,233.9,2026-07-01 00:00:00,,269.9,,8063535,234.9,19.575,30.99,29.99,25.96,0.3,,,,,,,,129,Bellboy Corporation,Bellboy 7.1
Ketel One Vodka,085156610419,Liquor,Liter,12,Diageo,Bellboy Corporation,5 cs across the chain same wee,"January, March, May, July, September, November",22.165833333333335,265.99,307.99,32.99,29.96,0.26015242545616374,264.99,2026-07-01 00:00:00,,307.99,,8595615,265.99,22.165833333333335,34.99,31.99,27.96,0.3,,,,,,,,127,Bellboy Corporation,Bellboy 7.1
Lagavulin 16 Yr Single,088110140052,Liquor,750ml,12,Diageo,Bellboy Corporation,Case 1,All,74.08333333333333,889,915,98.99,99.96,0.2588702147525677,888,2026-07-01 00:00:00,,915,,8188514,889,74.08333333333333,117.99,88.99,74.96,0.3,,,,,,,,79,Bellboy Corporation,Bellboy 7.1
Oban 14yr Scotch,088110160050,Liquor,750ml,12,Diageo,Bellboy Corporation,Case 1 ,All,63.166666666666664,758,790,85.99,84.96,0.2565128688010044,757,2026-07-01 00:00:00,,790,,8160274,758,63.166666666666664,99.99,92.99,77.96,0.3,,,,,,,,74,Bellboy Corporation,Bellboy 7.1
Seagrams 7 Blended,087000700703,Liquor,1.75 L,6,Diageo,Bellboy Corporation,"6cs m/m across chain, same week",January|March|May|July|September|November,15.625,93.75,101.75,21.99,20.96,0.2545324427480916,92.75,2026-07-01 00:00:00,,101.75,,6664219,93.75,15.625,24.99,23.99,19.96,0.3,,,,,,,,91,Bellboy Corporation,Bellboy 7.1
Smirnoff 80 Vodka traveler,08295004,Liquor,750 ml,12,Diageo,Bellboy Corporation,12 cs across chain - same week,January|March|May|July|September|November,8.208333333333334,98.5,118,12.99,10.96,0.25106447688564476,97.5,2026-07-01 00:00:00,,118,,8572734,98.5,8.208333333333334,12.99,12.99,10.96,0.3,,,,,,,,329,Bellboy Corporation,Bellboy 7.1
Smirnoff Vodka,082000727606,Liquor,1.75 L,6,Diageo,Bellboy Corporation,25cs across  chain - MONTHLY ACCUM,January|March|May|July|September|November,,,103.5,21.99,-0.04,0,89.85,2026-07-01 00:00:00,,103.5,,8572729,,0,-0.01,20.99,16.96,0.3,,,,,,,,213,Bellboy Corporation,Bellboy 7.1
Tanqueray Gin,088110110307,Liquor,750ml,12,Diageo,Bellboy Corporation,4cs across chain - same week,January|March|May|July|September|November,17.4375,209.25,232.25,24.99,23.96,0.27222454090150255,208.25,2026-07-01 00:00:00,,232.25,,7273414,209.25,17.4375,27.99,24.99,21.96,0.3,,,,,,,,103,Bellboy Corporation,Bellboy 7.1
Tanqueray Gin,088110110505,Liquor,1.75L,6,Diageo,Bellboy Corporation,4cs across chain - same week,January|March|May|July|September|November,27.15833333333333,162.95,188.95,40.99,36.96,0.265196608946609,161.95,2026-07-01 00:00:00,,188.95,,7273419,162.95,27.15833333333333,43.99,35.49,31.96,0.3,,,,,,,,131,Bellboy Corporation,Bellboy 7.1
Jack Daniels Single Barrel,082184087008,Liquor,750ml,6,Brown Forman,Johnson Brothers Liquor Co, ,February|May|August|November,33.93333333333333,203.6,220.5,47.99,45.96,0.2616768204235568,202.5,2026-07-01 00:00:00,,223.23,,4036,203.6,33.93333333333333,53.99,51.99,47.96,0.3,,,,,,,,2,Johnson Brothers - St. Paul,Johnson 7.1
Jack and Coca Cola 4pk can,082184006870,Liquor,4pk 355ml can,6,Brown Forman,Johnson Brothers Liquor Co, ,ALL,8.683333333333334,52.1,51,10.99,11.96,0.2739687848383501,51,2026-07-01 00:00:00,,51,,1816919,52.1,8.683333333333334,13.99,13.79,11.96,0.3,,,,,,,,48,Johnson Brothers - St. Paul,Johnson 7.1
Campari,721059047500,Liquor ,750ml,12,Campari,Johnson Brothers Liquor Co,Case 1,ALL,25.3,303.6,302.5,32.99,33.96,0.25500588928150764,302.5,2026-07-01 00:00:00,, ,,6635,303.6,25.3,39.99,35.49,29.96,0.3,,,,,,,,76,Johnson Brothers - St. Paul,Johnson 7.1
Crooked Water Vodka,712038686117,Liquor,750ml,6,Crooked Water,Johnson Brothers Liquor Co,Case 1,ALL,19.308333333333334,115.85,135.75,28.99,25.96,0.2562275295326143,114.75,2026-07-01 00:00:00,,,,001754566,115.85,19.308333333333334,30.99,29.99,24.96,0.3,,,,,,,,3,Johnson Brothers - St. Paul,Johnson 7.1
Crooked Water Old Fashioned,712038686148,Liquor,750ml,6,Crooked Water,Johnson Brothers Liquor Co,Case 1,ALL,28.058333333333334,168.35,182.25,38.99,37.96,0.2608447488584475,167.25,2026-07-01 00:00:00,,,,001701369,168.35,28.058333333333334,44.99,47.99,39.96,0.3,,,,,,,,5,Johnson Brothers - St. Paul,Johnson 7.1
Crooked Water Lost Lake Single Barrel,711841589165,Liquor,750ml,6,Crooked Water,Johnson Brothers Liquor Co,Case 1,ALL,49.05833333333334,294.35,293.25,63.99,65.96,0.2562411562563168,293.25,2026-07-01 00:00:00,,,,001531823,294.35,49.05833333333334,77.99,74.99,64.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Crooked Water Kings Point Bourbon,892060006012,Liquor,750ml,6,Crooked Water,Johnson Brothers Liquor Co,Case 1,ALL,35.55833333333333,213.35,249.75,53.99,47.96,0.25858354184042265,212.25,2026-07-01 00:00:00,,,,001167719,213.35,35.55833333333333,56.99,59.99,49.96,0.3,,,,,,,,2,Johnson Brothers - St. Paul,Johnson 7.1
Chicken Cock Rye,810020890037,Liquor,750ml,6,Grain & Barrel ,Johnson Brothers Liquor Co,Netted down price,ALL,38.85,233.1,254.85,54.99,51.96,0.25230946882217087,232,2026-07-01 00:00:00,, ,,1711082,233.1,38.85,60.99,59.99,49.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Meili Vodka ,860009555105,Liquor ,750ml,6,Meili,Johnson Brothers Liquor Co,Case 1 Pricing,ALL,18.183333333333334,109.1,113,23.99,24.96,0.2715010683760684,108,2026-07-01 00:00:00,,,,1814654,109.1,18.183333333333334,28.99,25.99,21.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Straight Rye 8yr 750ml,856302005553,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co,Case One,ALL,53.18333333333334,319.1,318,68.99,71.96,0.2609319992588474,318,2026-07-01 00:00:00,,,,1453530,319.1,53.18333333333334,84.99,79.99,0,0.3,,,,,,,,0.002,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Straight Bourbon 8yr  750ml,856302005546,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co,Case One,ALL,53.18333333333334,319.1,318,68.99,71.96,0.2609319992588474,318,2026-07-01 00:00:00,, ,,1336964,319.1,53.18333333333334,84.99,79.99,0,0.3,,,,,,,,0.002,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Single Barrel Bourbon Whiskey 750ml,856302005232,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co, ,ALL,40.43333333333333,242.6,241.5,51.99,54.96,0.2643134400776323,241.5,2026-07-01 00:00:00,, ,,1839940,242.6,40.43333333333333,64.99,59.99,49.96,0.3,,,,,,,,13,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Malted Rye,856302005294,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co,Case 1,ALL,45.68333333333334,274.1,295.5,63.99,61.96,0.2626963632451043,273,2026-07-01 00:00:00,,270,,1424132,274.1,45.68333333333334,72.99,62.99,0,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Kentucky Wild Gin,856302005027,Liquor,750ml,12,New Riff,Johnson Brothers Liquor Co, ,ALL,11.591666666666667,139.1,138,14.99,15.96,0.2737050960735172,138,2026-07-01 00:00:00,, ,,1344272,139.1,11.591666666666667,18.99,29.99,24.96,0.3,,,,,,,,3,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Kentucky Straight Bourbon,856302005263,Liquor,50ml,96,New Riff,Johnson Brothers Liquor Co,Case 1 Pricing,ALL,3.5427083333333336,340.1,339,4.99,4.96,0.28574428763440857,339,2026-07-01 00:00:00,,336,,1737762,340.1,3.5427083333333336,5.99,4.99,0,0.5,,,,,,,,248,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Balboa Rye,856302005317,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co,Case 1,ALL,45.68333333333334,274.1,273,58.99,61.96,0.2626963632451043,273,2026-07-01 00:00:00,,270,,1030794,274.1,45.68333333333334,72.99,72.99,60.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
New Riff PVT SGL BRL,856302005287,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co, ,ALL,50.68333333333334,304.1,303,65.99,67.96,0.2542181675495388,303,2026-07-01 00:00:00,,238.5,,1967388,304.1,50.68333333333334,79.99,59.99,49.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
New Riff Barrel Aged Gin,856302005140,Liquor,750ml,6,New Riff,Johnson Brothers Liquor Co, ,ALL,23.183333333333334,139.1,138,29.99,30.96,0.25118432385874245,138,2026-07-01 00:00:00,, ,,1201099,139.1,23.183333333333334,36.99,41.99,34.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
The Whistler Irish Honey,815755020292,Liquor,750ml,6,Prestige,Johnson Brothers Liquor Co,netted down case price,ALL,22.381666666666664,134.29,135,28.99,29.96,0.2529483756119271,133.19,2026-07-01 00:00:00,, ,,001938729,134.29,22.381666666666664,34.99,23.99,0,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
The Whistler Irish Cream,815755020308,Liquor,750ml,6,Prestige,Johnson Brothers Liquor Co,netted down case price,ALL,22.381666666666664,134.29,135,28.99,29.96,0.2529483756119271,133.19,2026-07-01 00:00:00,, ,,001801625,134.29,22.381666666666664,34.99,23.99,0,0.3,,,,,,,,1,Johnson Brothers - St. Paul,Johnson 7.1
1800 Silver Tequila,811538010122,Liquor,375ml,12,Proximo,Johnson Brothers Liquor Co,,ALL,11.208333333333334,134.5,133.4,16.99,14.96,0.25077985739750447,133.4,2026-07-01 00:00:00,,,,000022270,134.5,11.208333333333334,17.99,17.99,14.96,0.5,,,,,,,,59,Johnson Brothers - St. Paul,Johnson 7.1
Stolichnaya Vodka,083664871742,Liquor,1.75L,6,Proximo,Johnson Brothers Liquor Co,Buy 25cs get 3cs Free,ALL,22.400666666666666,134.404,157.46,33.99,29.96,0.2523141967067201,149.96,2026-07-01 00:00:00,, ,,000058644,134.404,22.400666666666666,34.99,34.99,29.96,0.3,,,,,,,,228,Johnson Brothers - St. Paul,Johnson 7.1
Stolichnaya Vodka,811751020021,Liquor,Liter,12,Proximo,Johnson Brothers Liquor Co,1 free 750 on 7 cases,ALL,15.942380952380951,191.3085714285714,215.91,22.99,21.96,0.27402636828866345,215.91,2026-07-01 00:00:00,, ,,000002691,191.3085714285714,15.942380952380951,25.99,23.99,19.96,0.3,,,,,,,,155,Johnson Brothers - St. Paul,Johnson 7.1
Stolichnaya Vanilla Vodka,811751020489,Liquor,Liter,12,Proximo,Johnson Brothers Liquor Co,1 free 750 on 7 cases,ALL,15.942380952380951,191.3085714285714,215.91,22.99,21.96,0.27402636828866345,215.91,2026-07-01 00:00:00,, ,,000075838,191.3085714285714,15.942380952380951,25.99,28.99,24.96,0.3,,,,,,,,118,Johnson Brothers - St. Paul,Johnson 7.1
Stolichnaya Razberi Vodka,083664871810,Liquor,Liter,12,Proximo,Johnson Brothers Liquor Co,1 free 750 on 7 cases,ALL,15.942380952380951,191.3085714285714,215.91,22.99,21.96,0.27402636828866345,215.91,2026-07-01 00:00:00,, ,,000075648,191.3085714285714,15.942380952380951,25.99,23.99,19.96,0.3,,,,,,,,29,Johnson Brothers - St. Paul,Johnson 7.1
Stolichnaya Blueberi Vodka,083664871964,Liquor,Liter,12,Proximo,Johnson Brothers Liquor Co,1 free 750 on 7 cases,ALL,15.942380952380951,191.3085714285714,215.91,22.99,21.96,0.27402636828866345,215.91,2026-07-01 00:00:00,, ,,000012185,191.3085714285714,15.942380952380951,25.99,23.99,19.96,0.3,,,,,,,,25,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Watermelon Liter,856417005820,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1688903,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,15,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Vodka Liter,856417003017,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1577339,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,69,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Strawberry Liter,850035927298,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1510992,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Raspberry Liter,855939007244,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1961344,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Prickly Pear Liter,856417003901,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1891509,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,5,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Peach Liter,856417003925,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1130646,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Lime Liter,855939007183,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1250130,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,6,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Lemon Liter,855939007138,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1498783,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,16,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Grapefruit Liter,856417003918,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1641316,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,20,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Cucumber Liter,859685005400,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1170683,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,0,Johnson Brothers - St. Paul,Johnson 7.1
Western Son Blueberry Vodka Liter,856417005219,Liquor,Liter,6,Sazerac,Johnson Brothers Liquor Co,Net Down Case Price,ALL,9.933333333333334,59.6,66,13.99,12.96,0.23353909465020578,58.5,2026-07-01 00:00:00,,58.5,,1505605,59.6,9.933333333333334,14.99,15.99,13.46,0.3,,,,,,,,17,Johnson Brothers - St. Paul,Johnson 7.1
Old Forester 100PF ,081128001063,Liquor,750ml,12,Brown Forman,Johnson Brothers Liquor Co,,April|June|September|December,18.616666666666667,223.4,262.25,27.99,24.96,0.25413995726495725,222.3,2026-07-01 00:00:00,,222.3,,1468732,223.4,18.616666666666667,28.99,30.49,25.96,0.3,,,,,,,,29,Johnson Brothers - St. Paul,Johnson 7.1
Old Forester  Top Ten Single Barrel 100pf  ,081128004361,Liquor,750ml,6,Brown Forman,Johnson Brothers Liquor Co,,ALL,48.6,291.6,290.5,62.99,65.96,0.26318981200727704,290.5,2026-07-01 00:00:00,,290.5,,1323036,291.6,48.6,77.99,76.99,64.96,0.3,,,,,,,,203,Johnson Brothers - St. Paul,Johnson 7.1
Bulleit 95 Rye Whiskey,082000752967,Liquor,750ml,12,Diageo/UBI,Phillips Wine & Spirits,"Case 1 Must hit 8 cs within month – 1 on 16, free good is 6pk VAP",February|April|June|August|October|December,19.258333333333333,231.1,270,28.99,25.96,0.2581535695942476,230,2026-08-01 00:00:00,,270,,000018231,231.1,19.258333333333333,30.99,28.99,24.96,0.3,,,,,,,,164,Phillips Wine & Spirits - St. Paul,Diageo 8.3
Bulleit Bourbon,087000005525,Liquor,750ml,12,Diageo/UBI,Phillips Wine & Spirits,"Case 1 Must hit 8 cs within month – 1 on 16, free good is 6pk VAP",February|April|June|August|October|December,19.258333333333333,231.1,270,28.99,25.96,0.2581535695942476,230,2026-08-01 00:00:00,,270,,000011271,231.1,19.258333333333333,30.99,28.99,24.96,0.3,,,,,,,,247,Phillips Wine & Spirits - St. Paul,Diageo 8.3
Captain Morgan Original,082000759102,Liquor,1.75L,6,Diageo/UBI,Phillips Wine & Spirits,4cs + 1cs seagrams mags on 60,February|April|June|August|October|December,19.695528455284553,118.17317073170732,129.65,27.99,26.96,0.26945369231140387,120,2026-08-01 00:00:00,,135,,16304,118.17317073170732,19.695528455284553,31.99,26.99,22.96,0.3,,,,,,,,598,Phillips Wine & Spirits - St. Paul,Diageo 8.3
Captain Morgan Silver Rum,087000201484,Liquor,1.75L,6,Diageo/UBI,Phillips Wine & Spirits,Case 1 Must hit 20 cs within month,February|April|June|August|October|December,19.695528455284553,118.17317073170732,129.65,27.99,26.96,0.26945369231140387,120,2026-08-01 00:00:00,,135,,000069146,118.17317073170732,19.695528455284553,31.99,28.99,23.96,0.3,,,,,,,,75,Phillips Wine & Spirits - St. Paul,Diageo 8.3
Captain Morgan Sweet Chili Lime,082000808879,Liquor,1.75L,6,Diageo/UBI,Johnson Brothers Liquor Co,Case 1,ALL,19.695528455284553,118.17317073170732,129.65,27.99,26.96,0.26945369231140387,120,2026-08-01 00:00:00,,129.65,,1018663,118.17317073170732,19.695528455284553,31.99,27.99,23.96,0.3,,,,,,,,121,Johnson Brothers - St. Paul,Diageo 8.3
