Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Lucky Ones Sweet Tea Vodka Half & Half 4pk 12oz can,085000042090,Liquor,4pk Can,6,Gallo,Johnson Brothers Liquor Co,Deep Net,Feb|March|May|August,7.666666666666667,46,63,13.99,10.96,0.3004866180048662,47,2026-03-01 00:00:00,,54,,1459520,46,7.666666666666667,12.99,12.99,10.96,0.3,,,,,,,,18,Johnson Brothers - St. Paul,
Lucky Ones Sweet Tea Vodka Peach 4pk 12oz can,085000042137,Liquor,4pk Can,6,Gallo,Johnson Brothers Liquor Co,Deep Net,Feb|March|May|August,7.666666666666667,46,63,13.99,10.96,0.3004866180048662,47,2026-03-01 00:00:00,,54,,1371253,46,7.666666666666667,12.99,12.99,10.96,0.3,,,,,,,,21,Johnson Brothers - St. Paul,
Lucky Ones Sweet Tea Vodka Raspberry 4pk 12oz cans,085000042113,Liquor,4pk Can,6,Gallo,Johnson Brothers Liquor Co,Deep Net,Feb|March|May|August,7.666666666666667,46,63,13.99,10.96,0.3004866180048662,47,2026-03-01 00:00:00,,54,,1798655,46,7.666666666666667,12.99,12.99,10.96,0.3,,,,,,,,0,Johnson Brothers - St. Paul,
New Amsterdam Pink Whitney,085000031360,Liquor,1.75L,6,Gallo,Johnson Brothers Liquor Co,2 free cases of NAM 1.75 80 Proof free on 25 cases Flavors/Pink Whitney,ALL,16.196666666666665,97.17999999999999,113.5,24.99,20.96,0.22725826972010188,104,2026-03-01 00:00:00,,104,,1300577,97.17999999999999,16.196666666666665,24.99,23.49,19.96,0.3,,,,,,,,105,Johnson Brothers - St. Paul,
Botanist,087236700362,Liquor,750ml,6,Remy Cointreau,Bellboy Corporation, ,ALL,26.833333333333332,161,165,35.99,37.96,0.29311556023884794,160,2026-03-01 00:00:00,,150,,7295104,161,26.833333333333332,45.99,45.99,37.96,0.3,,,,,,,,19,Bellboy Corporation,
Casamigos Anejo Tequila,856724006015,Liquor,750 ml,6,Diageo,Bellboy Corporation,Case 1,ALL,39.333333333333336,236,250,53.99,48.96,0.1966230936819172,235,2026-03-01 00:00:00,,235,,8495004,236,39.333333333333336,58.99,58.99,49.96,0.3,,,,,,,,49,Bellboy Corporation,
Crown Royal Canadian,087000007604,Liquor,375 ml,24,Diageo,Bellboy Corporation, ,All,12.372916666666667,296.95,295.95,15.99,17.96,0.31108481811432814,295.95,2026-03-01 00:00:00,,295.95,,6863112,296.95,12.372916666666667,21.99,21.99,17.96,0.3,,,,,,,,143,Bellboy Corporation,
Crown Royal Regal Apple,082000771555,Liquor,375 ml,24,Diageo,Bellboy Corporation, ,All,12.372916666666667,296.95,295.95,15.99,17.96,0.31108481811432814,295.95,2026-03-01 00:00:00,,295.95,,6163202,296.95,12.372916666666667,21.99,21.99,17.96,0.3,,,,,,,,110,Bellboy Corporation,
Eagle Rare Single Barrel,088004021344,Liquor,750ml,6,Sazerac,Bellboy Corporation,,ALL,49.833333333333336,299,298,64.99,69.96,0.2876882027825423,298,2026-03-01 00:00:00,,298,,8391004,299,49.833333333333336,83.99,9999.99,0,0.3,,,,,,,,62.06,Bellboy Corporation,
Mathilde Cassis Liqueur,695521117315,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,20.483333333333334,122.9,121.9,25.99,28.96,0.2927025782688766,121.9,2026-03-01 00:00:00,,121.9,,7564924,122.9,20.483333333333334,34.99,23.99,0,0.3,,,,,,,,0,Bellboy Corporation,
Mathilde Cassis Liqueur,695521117308,Liquor,375ml,12,Cognac Ferrand,Bellboy Corporation,,ALL,10.416666666666666,125,136.4,16.99,14.96,0.30369875222816406,136.4,2026-03-01 00:00:00,,136.4,,7564922,125,10.416666666666666,17.99,15.99,13.96,0.5,,,,,,,,64,Bellboy Corporation,
Mathilde Framboise Liqueur,695521117513,Liquor,750ml,6,Cognac Ferrand,Bellboy Corporation,,ALL,20.483333333333334,122.9,121.9,25.99,28.96,0.2927025782688766,121.9,2026-03-01 00:00:00,,121.9,,7564934,122.9,20.483333333333334,34.99,22.99,0,0.3,,,,,,,,0,Bellboy Corporation,
